framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,async,1,1,100,6000,1,,10,10,1.0,0.2,0.632,0.0,0,2,0.1,0.316,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,async,1,1,100,6000,1,,10,10,1.0,0.1,0.316,0.0,0,1,0.2,0.632,0.0,0,2,0.0,0.0,0.0,0.0,0.001
aspnet,async,5,1,100,6000,1,,50,50,1.0,0.62,1.51,0.0,0,6,0.04,0.198,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,async,5,1,100,6000,1,,50,50,1.0,1.2,1.654,1.0,0,10,0.02,0.141,0.0,0,1,0.0,0.0,0.0,0.0,0.0
aspnet,async,10,1,100,6000,1,,100,100,1.0,0.89,1.775,0.0,0,6,0.03,0.171,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,async,10,1,100,6000,1,,100,100,1.0,1.69,1.587,1.0,0,8,0.11,0.399,0.0,0,2,0.0,0.0,0.0,0.0,0.001
aspnet,async,25,1,100,6000,1,,250,250,1.0,1.48,1.943,1.0,0,7,0.004,0.063,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,async,25,1,100,6000,1,,250,250,1.0,4.4,3.041,4.0,0,14,0.104,0.397,0.0,0,3,0.0,0.0,0.0,0.0,0.001
aspnet,async,50,1,100,6000,1,,500,500,1.0,1.516,2.145,1.0,0,8,0.008,0.089,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,async,50,1,100,6000,1,,500,500,1.0,4.96,3.69,4.0,0,17,0.122,0.793,0.0,0,11,0.0,0.0,0.0,0.0,0.003
aspnet,async,100,1,100,6000,1,,1000,1000,1.0,3.356,3.134,2.0,0,14,0.019,0.137,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,async,100,1,100,6000,1,,1000,1000,1.0,11.304,15.847,5.0,0,73,0.172,1.255,0.0,0,22,0.0,0.0,0.0,0.0,0.005
aspnet,async,200,1,100,6000,1,,2000,2000,1.0,3.295,3.319,2.0,0,13,0.007,0.083,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,async,200,1,100,6000,1,,2000,2000,1.0,11.511,12.281,7.0,0,53,0.111,1.169,0.0,0,21,0.0,0.0,0.0,0.0,0.005
aspnet,async,500,1,100,6000,1,,5000,5000,1.0,6.178,5.102,6.0,0,27,0.008,0.091,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,async,500,1,100,6000,1,,5000,5000,1.0,19.252,21.139,12.0,0,99,0.063,0.988,0.0,0,33,0.0,0.0,0.0,0.0,0.008
aspnet,async,750,1,100,6000,1,,7500,7500,1.0,9.685,8.255,6.0,0,37,0.008,0.116,0.0,0,5,0.0,0.0,0.0,0.0,0.001
webflux,async,750,1,100,6000,1,,7500,7500,1.0,23.511,28.895,12.0,0,142,0.039,0.538,0.0,0,18,0.0,0.0,0.0,0.0,0.004
