framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
aspnet,cpu,55,55,300,1,45,0,0.0,,,,,
aspnet,cpu,55,55,300,2,55,55,1.0,741.4,0.596,741,741,743
aspnet,cpu,55,55,300,3,55,55,1.0,722.4,0.596,722,721,723
aspnet,cpu,55,55,300,4,55,55,1.0,720.8,1.758,720,719,723
aspnet,cpu,55,55,300,5,55,55,1.0,718.582,0.498,719,718,719
aspnet,cpu,55,55,300,6,55,55,1.0,1013.982,1.694,1014,1011,1016
aspnet,cpu,55,55,300,7,55,55,1.0,1316.473,1.034,1316,1315,1318
aspnet,cpu,55,55,300,8,55,55,1.0,713.891,1.149,714,711,715
aspnet,cpu,55,55,300,9,55,55,1.0,722.4,0.83,722,721,724
aspnet,cpu,55,55,300,10,55,55,1.0,781.8,0.826,782,780,783
aspnet,cpu,55,55,300,11,55,55,1.0,819.055,0.756,819,817,820
aspnet,cpu,55,55,300,12,55,55,1.0,840.509,1.62,841,833,842
aspnet,cpu,55,55,300,13,55,55,1.0,752.455,0.503,752,752,753
aspnet,cpu,55,55,300,14,55,55,1.0,715.855,0.356,716,715,716
aspnet,cpu,55,55,300,15,55,55,1.0,712.091,0.519,712,711,713
aspnet,cpu,55,55,300,16,55,55,1.0,709.873,0.474,710,709,711
aspnet,cpu,55,55,300,17,55,55,1.0,718.073,0.742,718,717,719
aspnet,cpu,55,55,300,18,55,55,1.0,726.727,0.781,727,726,728
aspnet,cpu,55,55,300,19,55,55,1.0,725.545,1.102,726,723,727
aspnet,cpu,55,55,300,20,55,55,1.0,791.545,2.623,792,779,794
aspnet,cpu,55,55,300,21,55,55,1.0,834.127,0.721,834,833,835
aspnet,cpu,55,55,300,22,55,55,1.0,710,0.793,710,708,711
aspnet,cpu,55,55,300,23,55,55,1.0,645.455,0.503,645,645,646
aspnet,cpu,55,55,300,24,55,55,1.0,838.582,0.498,839,838,839
aspnet,cpu,55,55,300,25,55,55,1.0,802.145,0.621,802,801,803
aspnet,cpu,55,55,300,26,55,55,1.0,648.073,0.716,648,647,649
aspnet,cpu,55,55,300,27,55,55,1.0,614.345,0.775,614,613,616
aspnet,cpu,55,55,300,28,55,55,1.0,553.891,0.737,554,553,555
aspnet,cpu,55,55,300,29,55,55,1.0,499.473,0.604,500,498,500
aspnet,cpu,55,55,300,30,55,55,1.0,413.945,1.061,414,412,415
aspnet,cpu,55,55,300,31,55,55,1.0,388.345,0.907,389,386,389
aspnet,cpu,55,55,300,32,55,55,1.0,343.055,0.591,343,342,344
aspnet,cpu,55,55,300,33,55,55,1.0,368.164,0.631,368,367,369
aspnet,cpu,55,55,300,34,55,55,1.0,463.836,1.032,464,462,466
aspnet,cpu,55,55,300,35,55,55,1.0,365.418,0.975,365,364,367
aspnet,cpu,55,55,300,36,55,55,1.0,354.945,1.061,355,353,356
aspnet,cpu,55,55,300,37,55,55,1.0,477.4,0.873,478,476,479
aspnet,cpu,55,55,300,38,55,55,1.0,408.018,0.952,408,405,410
aspnet,cpu,55,55,300,39,55,55,1.0,596.618,0.782,597,595,598
aspnet,cpu,55,55,300,40,55,55,1.0,790.691,0.466,791,790,791
aspnet,cpu,55,55,300,41,55,55,1.0,765.909,0.519,766,765,767
aspnet,cpu,55,55,300,42,55,55,1.0,1317.655,0.48,1318,1317,1318
aspnet,cpu,55,55,300,43,55,55,1.0,1908.909,0.888,1909,1907,1910
aspnet,cpu,55,55,300,44,55,55,1.0,1318.927,0.836,1319,1317,1320
aspnet,cpu,55,55,300,45,55,55,1.0,710.527,0.604,711,709,712
aspnet,cpu,55,55,300,46,55,55,1.0,719.545,1.051,720,718,721
aspnet,cpu,55,55,300,47,55,55,1.0,719.727,0.525,720,719,721
aspnet,cpu,55,55,300,48,55,55,1.0,749.4,0.494,749,749,750
aspnet,cpu,55,55,300,49,55,55,1.0,712.564,0.764,713,711,714
