framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
aspnet,cpu,140,140,100,1,140,140,1.0,294.271,1.308,295.0,292,296
aspnet,cpu,140,140,100,2,140,140,1.0,292.243,1.223,292.0,290,294
aspnet,cpu,140,140,100,3,140,140,1.0,291.779,1.163,292.0,289,294
aspnet,cpu,140,140,100,4,140,140,1.0,295.079,1.341,295.0,290,298
aspnet,cpu,140,140,100,5,140,140,1.0,289.086,1.096,289.0,287,291
aspnet,cpu,140,140,100,6,140,140,1.0,230.043,1.464,230.0,227,232
aspnet,cpu,140,140,100,7,140,140,1.0,258.236,1.328,258.0,256,260
aspnet,cpu,140,140,100,8,140,140,1.0,263.879,1.135,264.0,262,266
aspnet,cpu,140,140,100,9,140,140,1.0,235.621,1.375,235.0,233,238
aspnet,cpu,140,140,100,10,140,140,1.0,241.014,1.493,241.0,238,243
aspnet,cpu,140,140,100,11,140,140,1.0,242.671,1.19,243.0,240,245
aspnet,cpu,140,140,100,12,140,140,1.0,242.279,1.253,242.0,240,244
aspnet,cpu,140,140,100,13,140,140,1.0,242.329,0.817,243.0,240,244
aspnet,cpu,140,140,100,14,140,140,1.0,240.864,1.331,241.0,238,243
aspnet,cpu,140,140,100,15,140,140,1.0,292.35,1.235,292.0,290,294
aspnet,cpu,140,140,100,16,140,140,1.0,290.664,1.567,291.0,287,293
aspnet,cpu,140,140,100,17,140,140,1.0,286.079,0.937,286.0,284,288
aspnet,cpu,140,140,100,18,140,140,1.0,292.171,2.301,291.0,289,296
aspnet,cpu,140,140,100,19,140,140,1.0,227.45,1.213,228.0,225,229
aspnet,cpu,140,140,100,20,140,140,1.0,717.414,1.211,718.0,715,719
aspnet,cpu,140,140,100,21,140,140,1.0,246.65,1.246,247.0,244,249
aspnet,cpu,140,140,100,22,140,140,1.0,234.9,2.04,235.0,230,237
aspnet,cpu,140,140,100,23,140,140,1.0,250.786,1.67,251.0,248,253
aspnet,cpu,140,140,100,24,140,140,1.0,254.3,1.097,254.0,252,256
aspnet,cpu,140,140,100,25,140,140,1.0,240.307,1.653,240.5,237,243
aspnet,cpu,140,140,100,26,140,140,1.0,229.914,2.281,229.0,226,233
aspnet,cpu,140,140,100,27,140,140,1.0,231.657,0.987,232.0,230,233
aspnet,cpu,140,140,100,28,140,140,1.0,294.714,1.219,295.0,292,297
aspnet,cpu,140,140,100,29,140,140,1.0,290.786,1.324,291.0,288,294
aspnet,cpu,140,140,100,30,140,140,1.0,298.421,1.126,299.0,296,300
aspnet,cpu,140,140,100,31,140,140,1.0,296.436,1.254,297.0,294,298
aspnet,cpu,140,140,100,32,140,140,1.0,285.643,1.011,286.0,283,287
aspnet,cpu,140,140,100,33,140,140,1.0,292.871,1.162,293.0,290,295
aspnet,cpu,140,140,100,34,140,140,1.0,261.279,1.45,262.0,258,263
aspnet,cpu,140,140,100,35,140,140,1.0,240.193,1.156,240.0,238,242
aspnet,cpu,140,140,100,36,140,140,1.0,239.15,1.292,239.0,237,241
aspnet,cpu,140,140,100,37,140,140,1.0,286.7,1.222,287.0,284,289
aspnet,cpu,140,140,100,38,140,140,1.0,292.686,2.036,293.0,288,296
aspnet,cpu,140,140,100,39,140,140,1.0,295.036,1.37,295.0,293,297
aspnet,cpu,140,140,100,40,140,140,1.0,1115.193,1.275,1115.0,1113,1119
aspnet,cpu,140,140,100,41,140,140,1.0,1318.8,0.954,1319.0,1317,1320
aspnet,cpu,140,140,100,42,140,140,1.0,1414.957,1.199,1415.0,1412,1417
aspnet,cpu,140,140,100,43,140,140,1.0,255.257,2.973,254.0,251,260
aspnet,cpu,140,140,100,44,140,140,1.0,282.95,1.165,283.0,281,285
aspnet,cpu,140,140,100,45,140,140,1.0,237.364,1.265,238.0,233,239
aspnet,cpu,140,140,100,46,140,140,1.0,244.007,1.376,244.0,241,246
aspnet,cpu,140,140,100,47,140,140,1.0,295.471,1.668,295.0,292,299
aspnet,cpu,140,140,100,48,140,140,1.0,284.443,0.991,285.0,282,286
aspnet,cpu,140,140,100,49,140,140,1.0,295.193,1.367,295.0,291,297
