framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
aspnet,cpu,45,45,200,1,45,45,1.0,594.822,0.387,595,594,595
aspnet,cpu,45,45,200,2,45,45,1.0,595.578,0.499,596,595,596
aspnet,cpu,45,45,200,3,45,45,1.0,533.378,0.49,533,533,534
aspnet,cpu,45,45,200,4,45,45,1.0,480.044,0.367,480,479,481
aspnet,cpu,45,45,200,5,45,45,1.0,513.133,0.344,513,513,514
aspnet,cpu,45,45,200,6,45,45,1.0,478.422,0.499,478,478,479
aspnet,cpu,45,45,200,7,45,45,1.0,493.044,0.424,493,492,494
aspnet,cpu,45,45,200,8,45,45,1.0,455.622,0.49,456,455,456
aspnet,cpu,45,45,200,9,45,45,1.0,436.8,0.405,437,436,437
aspnet,cpu,45,45,200,10,45,45,1.0,426.844,0.475,427,426,428
aspnet,cpu,45,45,200,11,45,45,1.0,821.578,0.499,822,821,822
aspnet,cpu,45,45,200,12,45,45,1.0,448.556,0.503,449,448,449
aspnet,cpu,45,45,200,13,45,45,1.0,453.667,0.477,454,453,454
aspnet,cpu,45,45,200,14,45,45,1.0,572.289,0.458,572,572,573
aspnet,cpu,45,45,200,15,45,45,1.0,582.889,0.318,583,582,583
aspnet,cpu,45,45,200,16,45,45,1.0,496.178,0.387,496,496,497
aspnet,cpu,45,45,200,17,45,45,1.0,457.644,0.484,458,457,458
aspnet,cpu,45,45,200,18,45,45,1.0,1606.867,0.344,1607,1606,1607
aspnet,cpu,45,45,200,19,45,45,1.0,437.6,0.495,438,437,438
aspnet,cpu,45,45,200,20,45,45,1.0,431.756,0.435,432,431,432
aspnet,cpu,45,45,200,21,45,45,1.0,450.533,0.505,451,450,451
aspnet,cpu,45,45,200,22,45,45,1.0,449.911,0.417,450,449,451
aspnet,cpu,45,45,200,23,45,45,1.0,450.244,0.435,450,450,451
aspnet,cpu,45,45,200,24,45,45,1.0,432.689,0.701,433,431,433
aspnet,cpu,45,45,200,25,45,45,1.0,429.8,0.405,430,429,430
aspnet,cpu,45,45,200,26,45,45,1.0,452.511,0.506,453,452,453
aspnet,cpu,45,45,200,27,45,45,1.0,558.911,0.288,559,558,559
aspnet,cpu,45,45,200,28,45,45,1.0,472.511,0.506,473,472,473
aspnet,cpu,45,45,200,29,45,45,1.0,440.533,0.505,441,440,441
aspnet,cpu,45,45,200,30,45,45,1.0,1019.933,0.33,1020,1019,1021
aspnet,cpu,45,45,200,31,45,45,1.0,420.289,0.458,420,420,421
aspnet,cpu,45,45,200,32,45,45,1.0,425.711,0.458,426,425,426
aspnet,cpu,45,45,200,33,45,45,1.0,445.711,0.458,446,445,446
aspnet,cpu,45,45,200,34,45,45,1.0,577.111,0.438,577,576,578
aspnet,cpu,45,45,200,35,45,45,1.0,494.956,0.208,495,494,495
aspnet,cpu,45,45,200,36,45,45,1.0,580.711,0.458,581,580,581
aspnet,cpu,45,45,200,37,45,45,1.0,584.489,0.506,584,584,585
aspnet,cpu,45,45,200,38,45,45,1.0,566.178,0.387,566,566,567
aspnet,cpu,45,45,200,39,45,45,1.0,586.733,0.447,587,586,587
aspnet,cpu,45,45,200,40,45,45,1.0,593.778,0.42,594,593,594
aspnet,cpu,45,45,200,41,45,45,1.0,560.733,0.447,561,560,561
aspnet,cpu,45,45,200,42,45,45,1.0,502.111,0.318,502,502,503
aspnet,cpu,45,45,200,43,45,45,1.0,566.244,0.435,566,566,567
aspnet,cpu,45,45,200,44,45,45,1.0,584.733,0.447,585,584,585
aspnet,cpu,45,45,200,45,45,45,1.0,560.356,0.484,560,560,561
aspnet,cpu,45,45,200,46,45,45,1.0,545.6,0.495,546,545,546
aspnet,cpu,45,45,200,47,45,45,1.0,551.6,0.495,552,551,552
aspnet,cpu,45,45,200,48,45,45,1.0,518.489,0.506,518,518,519
aspnet,cpu,45,45,200,49,45,45,1.0,490.022,0.452,490,489,491
aspnet,cpu,45,45,200,50,45,45,1.0,502.067,0.393,502,501,503
aspnet,cpu,50,50,200,1,50,50,1.0,570.68,0.471,571.0,570,571
aspnet,cpu,50,50,200,2,50,50,1.0,520.14,0.535,520.0,519,521
aspnet,cpu,50,50,200,3,50,50,1.0,445.28,0.454,445.0,445,446
aspnet,cpu,50,50,200,4,50,50,1.0,455.84,0.422,456.0,455,457
aspnet,cpu,50,50,200,5,50,50,1.0,492.92,0.488,493.0,492,494
aspnet,cpu,50,50,200,6,50,50,1.0,445.16,0.548,445.0,444,446
aspnet,cpu,50,50,200,7,50,50,1.0,635.5,0.505,635.5,635,636
aspnet,cpu,50,50,200,8,50,50,1.0,450.64,0.598,451.0,448,451
aspnet,cpu,50,50,200,9,50,50,1.0,466.54,0.503,467.0,466,467
aspnet,cpu,50,50,200,10,50,50,1.0,514.62,0.49,515.0,514,515
aspnet,cpu,50,50,200,11,50,50,1.0,557.38,0.49,557.0,557,558
aspnet,cpu,50,50,200,12,50,50,1.0,547.76,0.431,548.0,547,548
aspnet,cpu,50,50,200,13,50,50,1.0,541.3,0.463,541.0,541,542
aspnet,cpu,50,50,200,14,50,50,1.0,508.52,0.505,509.0,508,509
aspnet,cpu,50,50,200,15,50,50,1.0,358.36,0.485,358.0,358,359
aspnet,cpu,50,50,200,16,50,50,1.0,440.22,0.465,440.0,439,441
aspnet,cpu,50,50,200,17,50,50,1.0,590.2,0.495,590.0,589,591
aspnet,cpu,50,50,200,18,50,50,1.0,532.52,0.505,533.0,532,533
aspnet,cpu,50,50,200,19,50,50,1.0,533.6,0.495,534.0,533,534
aspnet,cpu,50,50,200,20,50,50,1.0,551.4,0.495,551.0,551,552
aspnet,cpu,50,50,200,21,50,50,1.0,507.02,0.473,507.0,506,508
aspnet,cpu,50,50,200,22,50,50,1.0,1019.28,0.454,1019.0,1019,1020
aspnet,cpu,50,50,200,23,50,50,1.0,576.58,0.499,577.0,576,577
aspnet,cpu,50,50,200,24,50,50,1.0,575.02,0.473,575.0,574,576
aspnet,cpu,50,50,200,25,50,50,1.0,520.5,0.505,520.5,520,521
aspnet,cpu,50,50,200,26,50,0,0.0,,,,,
aspnet,cpu,50,50,200,27,50,50,1.0,1422.2,0.404,1422.0,1422,1423
aspnet,cpu,50,50,200,28,50,50,1.0,1626.72,0.454,1627.0,1626,1627
aspnet,cpu,50,50,200,29,50,50,1.0,450.2,0.452,450.0,449,451
aspnet,cpu,50,50,200,30,50,50,1.0,504.64,0.485,505.0,504,505
