framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,15,15,400,5000,1,15,300,300,1.0,846.14,265.647,910.5,45,1113,0.36,1.01,0.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,20,20,400,5000,1,15,400,400,1.0,840.455,350.13,1054.0,107,1144,0.247,0.924,0.0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,30,30,400,5000,1,15,596,570,0.9564,1210.995,293.423,1045.5,1031,1833,0.061,0.24,0.0,0,1,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,40,40,400,5000,1,15,800,640,0.8,1190.506,208.555,1114.0,1060,1843,0.283,0.87,0.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,50,50,400,5000,1,15,1000,950,0.95,1009.936,285.568,881.0,636,1850,0.241,0.791,0.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,60,60,400,5000,1,15,1179,960,0.8142,1117.033,130.856,1098.0,891,1530,0.168,0.755,0.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,70,70,400,5000,1,15,1270,771,0.6071,1343.957,331.499,1152,1105,1903,0.258,0.45,0,0,2,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,85,85,400,5000,1,15,1654,1445,0.8736,1090.766,329.47,964,834,1965,0.44,0.588,0,0,3,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,100,100,400,5000,1,15,1747,1100,0.6297,1087.062,77.749,1104.0,979,1222,0.548,0.548,1.0,0,2,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,120,120,400,5000,1,15,1475,0,0.0,,,,,,,,,,,,,,,
aspnet,cpu,30,30,200,5000,1,15,600,600,1.0,452.958,35.157,453.5,411,556,0.375,0.952,0.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,45,45,200,5000,1,15,900,855,0.95,611.684,333.854,509,418,1822,0.291,0.957,0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,60,60,200,5000,1,15,1200,1200,1.0,745.081,479.281,543.5,449,1853,0.357,0.983,0.0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,75,75,200,5000,1,15,1500,1500,1.0,601.639,212.592,554.5,472,1457,0.539,1.014,0.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,90,90,200,5000,1,15,1727,1080,0.6254,727.369,238.906,589.0,539,1283,11.039,43.531,1.0,0,197,0.001,0.004,0.0,0.0,0.02
aspnet,cpu,110,110,200,5000,1,15,2010,1650,0.8209,815.955,416.565,595.0,564,1924,0.776,0.795,1.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,130,130,200,5000,1,15,2525,2080,0.8238,649.928,297.124,585.5,466,1775,1.234,1.474,1.0,0,7,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,160,160,200,5000,1,15,2974,2400,0.807,688.49,326.35,576.0,406,1574,1.414,1.165,1.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,50,50,100,5000,1,15,1000,1000,1.0,259.964,29.814,253.0,215,299,0.451,1.133,0.0,0,5,0.0,0.0,0.0,0.0,0.001
