framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,80,80,100,5000,1,15,4000,3920,0.98,383.379,288.254,292.0,231,1726,1.157,4.89,1.0,0,100,0.0,0.0,0.0,0.0,0.01
aspnet,cpu,85,85,100,5000,1,15,4250,4165,0.98,487.894,416.906,294,242,1549,0.795,0.966,1,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,90,90,100,5000,1,15,4499,4320,0.9602,406.663,337.126,293.0,243,1836,0.873,0.931,1.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,95,95,100,5000,1,15,4715,4275,0.9067,561.956,507.624,293,249,1961,0.775,1.002,1,0,7,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,100,100,100,5000,1,15,4985,4700,0.9428,428.107,283.751,292.0,200,1350,0.818,1.178,1.0,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,105,105,100,5000,1,15,5193,4515,0.8694,389.233,312.859,289,246,1859,0.975,1.239,1,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,110,110,100,5000,1,15,5423,4730,0.8722,519.408,464.791,294.0,203,1845,0.711,0.856,1.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,115,115,100,5000,1,15,5620,4715,0.839,380.789,292.637,292,235,1770,1.235,2.407,1,0,99,0.0,0.0,0.0,0.0,0.01
aspnet,cpu,120,120,100,5000,1,15,5821,4800,0.8246,625.095,522.843,294.0,130,1965,0.967,1.019,1.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,125,125,100,5000,1,15,6088,4875,0.8008,389.959,330.436,291,204,1770,1.034,1.141,1,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,130,130,100,5000,1,15,6364,5590,0.8784,488.509,484.39,293.0,213,1975,1.106,1.329,1.0,0,9,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,140,140,100,5000,1,15,6518,5040,0.7732,345.352,175.617,293.0,215,1087,0.966,0.885,1.0,0,12,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,150,150,100,5000,1,15,7004,5400,0.771,391.048,291.722,293.0,241,1394,1.203,1.2,1.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,160,160,100,5000,1,15,7626,6400,0.8392,410.374,338.645,291.0,228,1608,1.404,1.689,1.0,0,12,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,175,175,100,5000,1,15,8117,6825,0.8408,425.898,407.996,292,258,1919,1.418,1.335,1,0,12,0.0,0.0,0.0,0.0,0.001
