framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
aspnet,cpu,80,80,100,1,80,80,1.0,291.562,1.301,291.0,290,297
aspnet,cpu,80,80,100,2,80,80,1.0,299.262,0.725,299.0,298,300
aspnet,cpu,80,80,100,3,80,80,1.0,237.137,0.568,237.0,236,238
aspnet,cpu,80,80,100,4,80,80,1.0,278.188,0.393,278.0,278,279
aspnet,cpu,80,80,100,5,80,80,1.0,258.375,0.487,258.0,258,259
aspnet,cpu,80,80,100,6,80,80,1.0,291.75,0.436,292.0,291,292
aspnet,cpu,80,80,100,7,80,80,1.0,243.162,0.371,243.0,243,244
aspnet,cpu,80,80,100,8,80,80,1.0,261.337,0.476,261.0,261,262
aspnet,cpu,80,80,100,9,80,80,1.0,268.825,0.522,269.0,268,270
aspnet,cpu,80,80,100,10,80,80,1.0,431.95,0.501,432.0,431,434
aspnet,cpu,80,80,100,11,80,80,1.0,287.863,0.689,288.0,287,289
aspnet,cpu,80,80,100,12,80,80,1.0,295.387,0.684,295.0,294,297
aspnet,cpu,80,80,100,13,80,80,1.0,252.713,0.455,253.0,252,253
aspnet,cpu,80,80,100,14,80,80,1.0,248.262,0.443,248.0,248,249
aspnet,cpu,80,80,100,15,80,80,1.0,432.462,0.502,432.0,432,433
aspnet,cpu,80,80,100,16,80,80,1.0,432.4,0.493,432.0,432,433
aspnet,cpu,80,80,100,17,80,80,1.0,298.163,0.719,298.0,297,299
aspnet,cpu,80,80,100,18,80,80,1.0,293.113,0.574,293.0,292,294
aspnet,cpu,80,80,100,19,80,80,1.0,298.15,0.506,298.0,297,299
aspnet,cpu,80,80,100,20,80,80,1.0,1725.7,0.461,1726.0,1725,1726
aspnet,cpu,80,80,100,21,80,80,1.0,928.288,0.679,928.0,927,929
aspnet,cpu,80,80,100,22,80,80,1.0,241.338,0.674,241.0,240,242
aspnet,cpu,80,80,100,23,80,80,1.0,297.613,0.49,298.0,297,298
aspnet,cpu,80,80,100,24,80,80,1.0,290.087,0.715,290.0,289,291
aspnet,cpu,80,80,100,25,80,80,1.0,284.012,0.49,284.0,283,285
aspnet,cpu,80,80,100,26,80,80,1.0,292.387,0.515,292.0,292,294
aspnet,cpu,80,80,100,27,80,80,1.0,297.425,0.612,297.0,296,298
aspnet,cpu,80,80,100,28,80,80,1.0,254.963,0.719,255.0,254,256
aspnet,cpu,80,80,100,29,80,80,1.0,284.525,0.573,285.0,283,285
aspnet,cpu,80,80,100,30,80,80,1.0,287.375,0.513,287.0,286,288
aspnet,cpu,80,80,100,31,80,80,1.0,256.725,0.746,257.0,255,259
aspnet,cpu,80,80,100,32,80,80,1.0,289.55,0.501,290.0,289,290
aspnet,cpu,80,80,100,33,80,80,1.0,291.863,0.651,292.0,291,293
aspnet,cpu,80,80,100,34,80,80,1.0,295.613,0.49,296.0,295,296
aspnet,cpu,80,80,100,35,80,80,1.0,260.375,0.487,260.0,260,261
aspnet,cpu,80,80,100,36,80,80,1.0,334.125,0.537,334.0,333,336
aspnet,cpu,80,80,100,37,80,80,1.0,297.087,0.326,297.0,296,298
aspnet,cpu,80,80,100,38,80,80,1.0,1319.088,31.409,1330.0,1231,1331
aspnet,cpu,80,80,100,39,80,80,1.0,449.238,0.661,449.0,448,450
aspnet,cpu,80,80,100,40,80,80,1.0,290.45,0.745,291.0,289,292
aspnet,cpu,80,80,100,41,80,80,1.0,288.775,0.693,289.0,288,291
aspnet,cpu,80,80,100,42,80,80,1.0,835.312,0.704,835.0,834,836
aspnet,cpu,80,80,100,43,80,80,1.0,1039.188,0.713,1039.0,1038,1040
aspnet,cpu,80,80,100,44,80,0,0.0,,,,,
aspnet,cpu,80,80,100,45,80,80,1.0,242.838,0.665,243.0,242,244
aspnet,cpu,80,80,100,46,80,80,1.0,295.012,0.464,295.0,294,296
