framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,35,35,200,5000,1,15,350,350,1.0,472.5,48.99,457.5,410,570,0.429,1.282,0.0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,50,50,200,5000,1,15,500,500,1.0,526.716,117.305,474.5,434,841,0.848,1.618,0.0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,65,65,200,5000,1,15,650,650,1.0,668.388,252.681,576.0,459,1268,0.854,1.297,1.0,0,7,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,75,75,200,5000,1,15,750,675,0.9,788.991,360.68,566,449,1450,0.938,1.408,1,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,90,90,200,5000,1,15,864,720,0.8333,542.882,63.402,566.5,339,598,1.099,1.869,1.0,0,13,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,110,110,200,5000,1,15,1100,1100,1.0,790.268,385.667,595.5,481,1667,1.325,1.641,1.0,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,130,130,200,5000,1,15,1189,780,0.656,554.89,44.464,576.5,466,595,0.915,0.736,1.0,0,3,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,160,160,200,5000,1,15,1493,1121,0.7508,556.649,62.231,548,448,772,1.717,1.577,1,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,50,50,100,5000,1,15,500,500,1.0,261.782,29.357,266.5,217,300,1.262,1.635,1.0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,75,75,100,5000,1,15,750,750,1.0,276.816,26.777,291.0,228,304,1.132,1.953,1.0,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,90,90,100,5000,1,15,894,810,0.906,448.472,489.247,287.0,245,1832,0.978,1.471,1.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,100,100,100,5000,1,15,994,900,0.9054,406.651,273.153,292.0,267,1158,2.86,4.591,1.0,0,18,0.0,0.0,0.0,0.0,0.002
aspnet,cpu,110,110,100,5000,1,15,1100,1100,1.0,404.563,380.647,284.0,233,1546,1.206,1.419,1.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,125,125,100,5000,1,15,1208,1000,0.8278,330.788,129.915,295.0,210,669,1.639,1.825,1.0,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,150,150,100,5000,1,15,1500,1500,1.0,285.047,19.857,290.0,225,301,1.84,1.782,1.0,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,175,175,100,5000,1,15,1750,1750,1.0,291.611,20.676,287.0,253,353,1.372,1.151,1.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,200,200,100,5000,1,15,1788,1400,0.783,294.844,11.431,294.0,274,321,2.344,3.045,2.0,0,16,0.0,0.0,0.0,0.0,0.002
aspnet,cpu,75,75,50,5000,1,15,750,750,1.0,142.596,10.349,147.0,115,152,0.796,1.435,0.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,100,100,50,5000,1,15,1000,1000,1.0,141.551,11.892,144.0,113,161,1.96,2.011,1.0,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,125,125,50,5000,1,15,1250,1250,1.0,150.284,31.533,148.0,108,239,1.23,1.017,1.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,150,150,50,5000,1,15,1500,1500,1.0,290.782,447.504,146.0,119,1634,1.609,1.827,1.0,0,9,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,165,165,50,5000,1,15,1650,1650,1.0,192.519,142.643,146.0,138,622,1.953,2.177,1.0,0,11,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,180,180,50,5000,1,15,1800,1800,1.0,333.575,394.133,145.0,130,1318,2.109,1.742,2.0,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,200,200,50,5000,1,15,2000,2000,1.0,293.792,293.928,149.0,130,1061,3.081,4.612,2.0,0,47,0.0,0.0,0.0,0.0,0.005
aspnet,cpu,225,225,50,5000,1,15,2206,2025,0.918,452.927,602.138,146,122,1874,2.602,2.322,2,0,10,0.0,0.0,0.0,0.0,0.001
