framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,1,1,100,5000,1,15,10,10,1.0,219.3,37.854,202.0,201,301,0.2,0.422,0.0,0,1,0.0,0.0,0.0,0.0,0.0
webflux,cpu,1,1,100,5000,1,15,10,10,1.0,1.1,0.316,1.0,1,2,4.4,5.147,2.0,1,18,0.0,0.001,0.0,0.0,0.002
aspnet,cpu,5,5,100,5000,1,15,50,50,1.0,219.6,35.88,222.5,156,271,0.38,0.923,0.0,0,4,0.0,0.0,0.0,0.0,0.0
webflux,cpu,5,5,100,5000,1,15,50,50,1.0,2.44,2.822,2.0,0,19,47.38,12.879,48.5,11,73,0.005,0.001,0.005,0.001,0.007
aspnet,cpu,10,10,100,5000,1,15,100,100,1.0,234.75,25.915,225.5,204,294,1.15,3.115,0.0,0,18,0.0,0.0,0.0,0.0,0.002
webflux,cpu,10,10,100,5000,1,15,100,100,1.0,6.56,12.831,2.0,0,62,41.12,23.432,41.0,1,99,0.004,0.002,0.004,0.0,0.01
aspnet,cpu,25,25,100,5000,1,15,250,250,1.0,246.596,19.044,253.5,215,269,0.728,1.433,0.0,0,5,0.0,0.0,0.0,0.0,0.001
webflux,cpu,25,25,100,5000,1,15,250,250,1.0,5.256,6.567,3.0,1,57,18.1,26.154,0.0,0,112,0.002,0.003,0.0,0.0,0.011
aspnet,cpu,50,50,100,5000,1,15,500,500,1.0,269.988,29.136,278.5,219,299,0.668,1.47,0.0,0,6,0.0,0.0,0.0,0.0,0.001
webflux,cpu,50,50,100,5000,1,15,500,500,1.0,8.426,12.035,4.0,0,56,8.272,19.18,0.0,0,94,0.001,0.002,0.0,0.0,0.009
aspnet,cpu,75,75,100,5000,1,15,750,750,1.0,255.508,17.739,251.5,227,285,1.121,1.471,1.0,0,5,0.0,0.0,0.0,0.0,0.001
webflux,cpu,75,75,100,5000,1,15,750,750,1.0,10.549,17.21,5.0,0,85,6.071,18.285,0.0,0,107,0.001,0.002,0.0,0.0,0.011
aspnet,cpu,100,100,100,5000,1,15,1000,1000,1.0,420.197,354.421,282.5,228,1458,2.285,2.508,1.0,0,8,0.0,0.0,0.0,0.0,0.001
webflux,cpu,100,100,100,5000,1,15,1000,1000,1.0,12.715,18.028,6.0,0,84,5,16.922,0.0,0,97,0.001,0.002,0.0,0.0,0.01
aspnet,cpu,125,125,100,5000,1,15,1249,1000,0.8006,520.647,516.423,293.5,257,1864,1.674,1.647,1.0,0,7,0.0,0.0,0.0,0.0,0.001
webflux,cpu,125,125,100,5000,1,15,1250,1250,1.0,19.506,29.635,6.0,0,109,4.767,17.014,0.0,0,98,0.0,0.002,0.0,0.0,0.01
aspnet,cpu,150,150,100,5000,1,15,1454,1200,0.8253,354.017,190.63,287.5,254,859,1.523,1.685,1.0,0,8,0.0,0.0,0.0,0.0,0.001
webflux,cpu,150,150,100,5000,1,15,1500,1500,1.0,20.112,26.404,7.0,0,110,3.877,15.551,0.0,0,109,0.0,0.002,0.0,0.0,0.011
aspnet,cpu,200,200,100,5000,1,15,1925,1600,0.8312,395.474,273.342,293.0,283,1121,1.636,1.005,2.0,0,7,0.0,0.0,0.0,0.0,0.001
webflux,cpu,200,200,100,5000,1,15,2000,2000,1.0,28.258,36.602,8.0,0,173,4.225,17.427,0.0,0,114,0.0,0.002,0.0,0.0,0.011
aspnet,cpu,300,300,100,5000,1,15,2611,900,0.3447,922.706,732.923,525.0,289,1959,7.527,3.273,7.0,0,16,0.001,0.0,0.001,0.0,0.002
webflux,cpu,300,300,100,5000,1,15,3000,3000,1.0,39.738,53.048,15.0,0,249,3.114,15.062,0.0,0,139,0.0,0.002,0.0,0.0,0.014
