framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
aspnet,cpu,80,80,200,1,80,80,1.0,9.488,0.595,10.0,8,10
aspnet,cpu,80,80,200,2,80,80,1.0,10.338,0.899,11.0,9,11
aspnet,cpu,80,80,200,3,80,80,1.0,9.338,0.674,9.0,8,10
aspnet,cpu,80,80,200,4,80,80,1.0,10.762,1.774,12.0,8,13
aspnet,cpu,80,80,200,5,80,80,1.0,7.95,0.855,8.0,6,9
aspnet,cpu,80,80,200,6,80,80,1.0,53.45,0.778,53.5,52,55
aspnet,cpu,80,80,200,7,80,80,1.0,70.463,0.594,71.0,69,71
aspnet,cpu,80,80,200,8,80,80,1.0,8.725,0.616,9.0,8,10
aspnet,cpu,80,80,200,9,80,80,1.0,9.512,0.595,10.0,8,10
aspnet,cpu,80,80,200,10,80,80,1.0,10.275,0.636,10.0,9,11
aspnet,cpu,80,80,200,11,80,80,1.0,10.25,0.819,10.0,9,11
aspnet,cpu,80,80,200,12,80,80,1.0,8.762,0.815,9.0,8,10
aspnet,cpu,80,80,200,13,80,80,1.0,8.925,0.725,9.0,8,10
aspnet,cpu,80,80,200,14,80,80,1.0,8.85,0.695,9.0,8,10
aspnet,cpu,80,80,200,15,80,80,1.0,9.5,0.636,10.0,8,10
aspnet,cpu,80,80,200,16,80,80,1.0,9.4,0.686,9.5,7,10
aspnet,cpu,80,80,200,17,80,80,1.0,9.4,1.531,8.0,8,12
aspnet,cpu,80,80,200,18,80,80,1.0,9.387,1.497,8.0,8,12
aspnet,cpu,80,80,200,19,80,80,1.0,11.162,0.719,11.0,10,12
aspnet,cpu,80,80,200,20,80,80,1.0,8.762,0.601,9.0,8,10
aspnet,cpu,80,80,200,21,80,80,1.0,7.662,0.635,8.0,6,9
aspnet,cpu,80,80,200,22,80,80,1.0,9,0.675,9.0,8,10
aspnet,cpu,80,80,200,23,80,80,1.0,8.812,0.618,9.0,8,10
aspnet,cpu,80,80,200,24,80,80,1.0,9.525,0.573,10.0,8,10
aspnet,cpu,80,80,200,25,80,80,1.0,7.312,0.648,7.0,6,8
