framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
aspnet,cpu,1,1,100,5000,1,15,10,10,1.0,247.1,49.745,232.0,201,301,0.2,0.422,0.0,0,1,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,5,5,100,5000,1,15,50,50,1.0,211.54,17.412,218.0,163,223,0.34,1.042,0.0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,10,10,100,5000,1,15,100,100,1.0,227.66,12.394,224.5,212,255,0.38,1.099,0.0,0,4,0.0,0.0,0.0,0.0,0.0
aspnet,cpu,20,20,100,5000,1,15,200,200,1.0,241.295,20.715,236.5,208,276,0.685,1.479,0.0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,30,30,100,5000,1,15,300,300,1.0,241.647,26.42,236.5,211,299,0.423,1.193,0.0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,40,40,100,5000,1,15,400,400,1.0,262.05,21.168,259.0,236,300,0.782,1.593,0.0,0,5,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,50,50,100,5000,1,15,500,500,1.0,264.626,27.38,273.0,216,297,0.712,1.382,0.0,0,6,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,75,75,100,5000,1,15,750,750,1.0,413.2,370.528,275.5,234,1514,1.089,1.645,1.0,0,7,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,100,100,100,5000,1,15,970,800,0.8247,415.02,318.273,296.0,241,1257,1.183,1.765,1.0,0,8,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,125,125,100,5000,1,15,1250,1250,1.0,279.336,32.004,290.0,139,300,0.77,0.857,1.0,0,12,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,150,150,100,5000,1,15,1500,1500,1.0,287.687,8.561,288.0,266,301,1.637,1.979,1.0,0,9,0.0,0.0,0.0,0.0,0.001
aspnet,cpu,175,175,100,5000,1,15,1735,1400,0.8069,286.203,52.044,294.0,201,393,2.397,3.277,1.0,0,15,0.0,0.0,0.0,0.0,0.002
aspnet,cpu,200,200,100,5000,1,15,2000,2000,1.0,283.147,16.618,289.0,157,301,1.736,2.112,1.0,0,18,0.0,0.0,0.0,0.0,0.002
