framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
aspnet,cpu,120,120,100,1,120,120,1.0,290.508,1.25,291.0,288,292
aspnet,cpu,120,120,100,2,120,120,1.0,295.917,1.185,296.0,293,298
aspnet,cpu,120,120,100,3,120,120,1.0,295.517,0.979,296.0,294,297
aspnet,cpu,120,120,100,4,120,120,1.0,285.358,0.765,286.0,284,286
aspnet,cpu,120,120,100,5,120,120,1.0,295.775,0.957,296.0,294,297
aspnet,cpu,120,120,100,6,120,120,1.0,287.775,0.974,288.0,286,289
aspnet,cpu,120,120,100,7,120,120,1.0,294.367,0.978,295.0,292,296
aspnet,cpu,120,120,100,8,120,120,1.0,293.742,0.783,294.0,292,295
aspnet,cpu,120,120,100,9,120,120,1.0,289.567,0.786,290.0,288,291
aspnet,cpu,120,120,100,10,120,120,1.0,298.25,0.833,298.0,296,299
aspnet,cpu,120,120,100,11,120,120,1.0,288.6,1.095,289.0,286,290
aspnet,cpu,120,120,100,12,120,120,1.0,297.792,0.907,298.0,296,299
aspnet,cpu,120,120,100,13,120,120,1.0,298.683,0.987,299.0,297,300
aspnet,cpu,120,120,100,14,120,120,1.0,292.458,0.685,293.0,291,293
aspnet,cpu,120,120,100,15,120,120,1.0,288.892,0.915,289.0,287,290
aspnet,cpu,120,120,100,16,120,120,1.0,289.067,0.867,289.0,287,290
aspnet,cpu,120,120,100,17,120,120,1.0,290.65,0.741,291.0,289,292
aspnet,cpu,120,120,100,18,120,120,1.0,289.65,1.351,290.0,287,292
aspnet,cpu,120,120,100,19,98,0,0.0,,,,,
aspnet,cpu,120,120,100,20,92,0,0.0,,,,,
aspnet,cpu,120,120,100,21,85,0,0.0,,,,,
aspnet,cpu,120,120,100,22,120,120,1.0,295.067,0.857,295.0,293,296
aspnet,cpu,120,120,100,23,120,120,1.0,296.392,1.048,297.0,294,298
aspnet,cpu,120,120,100,24,120,120,1.0,282.567,0.905,283.0,281,284
aspnet,cpu,120,120,100,25,120,120,1.0,292.892,1.733,293.0,291,302
aspnet,cpu,120,120,100,26,120,120,1.0,294.65,0.932,295.0,293,297
aspnet,cpu,120,120,100,27,120,120,1.0,278.908,0.917,279.0,277,280
aspnet,cpu,120,120,100,28,120,120,1.0,283.875,0.958,284.0,282,285
aspnet,cpu,120,120,100,29,120,120,1.0,288.325,0.801,288.0,286,290
aspnet,cpu,120,120,100,30,120,120,1.0,292.342,1.025,292.0,290,294
aspnet,cpu,120,120,100,31,92,0,0.0,,,,,
aspnet,cpu,120,120,100,32,99,0,0.0,,,,,
aspnet,cpu,120,120,100,33,120,120,1.0,266.842,0.917,267.0,265,268
aspnet,cpu,120,120,100,34,120,120,1.0,293.558,0.742,294.0,292,295
