framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
webflux,cpu,1,1,100,1,1,1,1.0,2,0.0,2,2,2
webflux,cpu,1,1,100,2,1,1,1.0,3,0.0,3,3,3
webflux,cpu,1,1,100,3,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,4,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,5,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,6,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,7,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,8,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,9,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,10,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,11,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,12,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,13,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,14,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,15,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,16,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,17,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,18,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,19,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,20,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,21,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,22,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,23,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,24,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,25,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,26,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,27,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,28,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,29,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,30,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,31,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,32,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,33,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,34,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,35,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,36,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,37,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,38,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,39,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,40,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,41,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,42,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,43,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,44,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,45,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,46,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,47,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,48,1,1,1.0,0,0.0,0,0,0
webflux,cpu,1,1,100,49,1,1,1.0,1,0.0,1,1,1
webflux,cpu,1,1,100,50,1,1,1.0,0,0.0,0,0,0
webflux,cpu,8,8,100,1,8,8,1.0,33.25,4.367,34.5,28,41
webflux,cpu,8,8,100,2,8,8,1.0,1.625,1.061,1.5,0,3
webflux,cpu,8,8,100,3,8,8,1.0,1.625,1.061,1.5,0,3
webflux,cpu,8,8,100,4,8,8,1.0,1.375,0.744,1.5,0,2
webflux,cpu,8,8,100,5,8,8,1.0,1,0.756,1.0,0,2
webflux,cpu,8,8,100,6,8,8,1.0,3.625,1.685,4.0,0,5
webflux,cpu,8,8,100,7,8,8,1.0,3.125,0.835,3.0,2,4
webflux,cpu,8,8,100,8,8,8,1.0,2.25,1.909,2.5,0,4
webflux,cpu,8,8,100,9,8,8,1.0,1.375,0.744,1.5,0,2
webflux,cpu,8,8,100,10,8,8,1.0,2.875,0.641,3.0,2,4
webflux,cpu,8,8,100,11,8,8,1.0,0.75,0.463,1.0,0,1
webflux,cpu,8,8,100,12,8,8,1.0,1.125,0.641,1.0,0,2
webflux,cpu,8,8,100,13,8,8,1.0,3.375,1.506,4.0,0,5
webflux,cpu,8,8,100,14,8,8,1.0,2.5,1.604,3.0,0,4
webflux,cpu,8,8,100,15,8,8,1.0,0.75,0.463,1.0,0,1
webflux,cpu,8,8,100,16,8,8,1.0,1.5,1.604,1.0,0,4
webflux,cpu,8,8,100,17,8,8,1.0,0.875,0.354,1.0,0,1
webflux,cpu,8,8,100,18,8,8,1.0,1,0.756,1.0,0,2
webflux,cpu,8,8,100,19,8,8,1.0,0.75,0.463,1.0,0,1
webflux,cpu,8,8,100,20,8,8,1.0,0.875,0.354,1.0,0,1
webflux,cpu,8,8,100,21,8,8,1.0,1.25,0.707,1.0,0,2
webflux,cpu,8,8,100,22,8,8,1.0,0.75,0.463,1.0,0,1
webflux,cpu,8,8,100,23,8,8,1.0,3.5,1.69,3.5,0,5
webflux,cpu,8,8,100,24,8,8,1.0,0.75,0.463,1.0,0,1
webflux,cpu,8,8,100,25,8,8,1.0,2.625,0.518,3.0,2,3
webflux,cpu,8,8,100,26,8,8,1.0,2.125,0.641,2.0,1,3
webflux,cpu,8,8,100,27,8,8,1.0,2.25,1.909,2.5,0,4
webflux,cpu,8,8,100,28,8,8,1.0,2.75,2.55,2.5,0,6
webflux,cpu,8,8,100,29,8,8,1.0,0.75,0.463,1.0,0,1
webflux,cpu,8,8,100,30,8,8,1.0,4.5,2.204,4.5,2,7
webflux,cpu,8,8,100,31,8,8,1.0,2.25,2.964,1.0,0,7
webflux,cpu,8,8,100,32,8,8,1.0,2.5,2.204,2.5,0,5
webflux,cpu,8,8,100,33,8,8,1.0,2.75,0.463,3.0,2,3
webflux,cpu,8,8,100,34,8,8,1.0,3,1.309,3.0,0,4
webflux,cpu,8,8,100,35,8,8,1.0,2.25,1.909,2.5,0,4
