framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
webflux,cpu,1,1,100,1,1,0,0.0,,,,,
webflux,cpu,1,1,100,2,1,0,0.0,,,,,
webflux,cpu,1,1,100,3,1,0,0.0,,,,,
webflux,cpu,1,1,100,4,1,0,0.0,,,,,
webflux,cpu,1,1,100,5,1,0,0.0,,,,,
webflux,cpu,1,1,100,6,1,0,0.0,,,,,
webflux,cpu,1,1,100,7,1,0,0.0,,,,,
webflux,cpu,1,1,100,8,1,0,0.0,,,,,
webflux,cpu,1,1,100,9,1,0,0.0,,,,,
webflux,cpu,1,1,100,10,1,0,0.0,,,,,
webflux,cpu,1,1,100,11,1,0,0.0,,,,,
webflux,cpu,1,1,100,12,1,0,0.0,,,,,
webflux,cpu,1,1,100,13,1,0,0.0,,,,,
webflux,cpu,1,1,100,14,1,0,0.0,,,,,
webflux,cpu,1,1,100,15,1,0,0.0,,,,,
webflux,cpu,1,1,100,16,1,0,0.0,,,,,
webflux,cpu,1,1,100,17,1,0,0.0,,,,,
webflux,cpu,1,1,100,18,1,0,0.0,,,,,
webflux,cpu,1,1,100,19,1,0,0.0,,,,,
webflux,cpu,1,1,100,20,1,0,0.0,,,,,
webflux,cpu,8,8,100,1,4,0,0.0,,,,,
webflux,cpu,8,8,100,2,4,0,0.0,,,,,
webflux,cpu,8,8,100,3,4,0,0.0,,,,,
webflux,cpu,8,8,100,4,4,0,0.0,,,,,
webflux,cpu,8,8,100,5,4,0,0.0,,,,,
webflux,cpu,8,8,100,6,4,0,0.0,,,,,
webflux,cpu,8,8,100,7,4,0,0.0,,,,,
webflux,cpu,8,8,100,8,4,0,0.0,,,,,
webflux,cpu,8,8,100,9,4,0,0.0,,,,,
webflux,cpu,8,8,100,10,4,0,0.0,,,,,
webflux,cpu,8,8,100,11,4,0,0.0,,,,,
webflux,cpu,8,8,100,12,4,0,0.0,,,,,
webflux,cpu,8,8,100,13,4,0,0.0,,,,,
webflux,cpu,8,8,100,14,0,0,,,,,,
webflux,cpu,8,8,100,15,0,0,,,,,,
webflux,cpu,8,8,100,16,0,0,,,,,,
webflux,cpu,8,8,100,17,0,0,,,,,,
webflux,cpu,8,8,100,18,0,0,,,,,,
webflux,cpu,8,8,100,19,0,0,,,,,,
webflux,cpu,8,8,100,20,0,0,,,,,,
webflux,cpu,32,32,100,1,4,0,0.0,,,,,
webflux,cpu,32,32,100,2,4,0,0.0,,,,,
webflux,cpu,32,32,100,3,4,0,0.0,,,,,
webflux,cpu,32,32,100,4,4,0,0.0,,,,,
webflux,cpu,32,32,100,5,4,0,0.0,,,,,
webflux,cpu,32,32,100,6,4,0,0.0,,,,,
webflux,cpu,32,32,100,7,4,0,0.0,,,,,
webflux,cpu,32,32,100,8,4,0,0.0,,,,,
webflux,cpu,32,32,100,9,4,0,0.0,,,,,
webflux,cpu,32,32,100,10,4,0,0.0,,,,,
webflux,cpu,32,32,100,11,4,0,0.0,,,,,
webflux,cpu,32,32,100,12,4,0,0.0,,,,,
webflux,cpu,32,32,100,13,4,0,0.0,,,,,
webflux,cpu,32,32,100,14,4,0,0.0,,,,,
webflux,cpu,32,32,100,15,4,0,0.0,,,,,
webflux,cpu,32,32,100,16,0,0,,,,,,
webflux,cpu,32,32,100,17,0,0,,,,,,
webflux,cpu,32,32,100,18,0,0,,,,,,
webflux,cpu,32,32,100,19,0,0,,,,,,
webflux,cpu,32,32,100,20,0,0,,,,,,
