framework,scenario,N,T,yield_interval_ms,cancel_after_ms,cores,cpu_duration_s,n_requests,n_cancelled,cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max,L2_mean,L2_sd,L2_median,L2_min,L2_max,waste_mean,waste_sd,waste_median,waste_min,waste_max
go,cpu,30,30,200,5000,1,15,1500,1500,1.0,591.387,13.097,586.0,286,623,44.445,63.856,20.0,0,261,0.004,0.006,0.002,0.0,0.026
go,cpu,55,55,200,5000,1,15,2750,2750,1.0,1100.687,11.028,1106.0,1084,1146,29.134,60.379,1.0,0,212,0.003,0.006,0.0,0.0,0.021
go,cpu,90,90,200,5000,1,15,4500,4500,1.0,1781.393,73.304,1790.0,605,1811,22.924,74.189,2.0,0,1207,0.002,0.007,0.0,0.0,0.121
go,cpu,150,150,200,5000,1,15,7500,858,0.1144,293.311,12.618,299.0,258,322,411.753,15.781,422.0,382,443,0.041,0.002,0.042,0.038,0.044
go,cpu,50,50,100,5000,1,15,2500,2500,1.0,1007.424,9.547,1007.0,985,1031,8.723,18.339,1.0,0,91,0.001,0.002,0.0,0.0,0.009
go,cpu,95,95,100,5000,1,15,4750,4750,1.0,1884.242,53.386,1891.0,905,1913,8.863,48.43,2.0,0,987,0.001,0.005,0.0,0.0,0.099
go,cpu,150,150,100,5000,1,15,7500,857,0.1143,292.256,12.668,299,257,322,413.17,15.726,422,382,443,0.041,0.002,0.042,0.038,0.044
go,cpu,200,200,100,5000,1,15,10000,3315,0.3315,298.961,13.563,299,254,344,1394.866,102.113,1408,20,1429,0.139,0.01,0.141,0.002,0.143
go,cpu,300,300,100,5000,1,15,14993,0,0.0,,,,,,,,,,,,,,,
go,cpu,100,100,50,5000,1,15,5000,3193,0.6386,1986.896,42.946,1991,1186,2011,5.871,34.372,2,0,726,0.001,0.003,0.0,0.0,0.073
go,cpu,175,175,50,5000,1,15,8750,2088,0.2386,294.177,11.108,299.0,257,324,926.316,12.951,925.0,904,966,0.093,0.001,0.092,0.09,0.097
go,cpu,250,250,50,5000,1,15,12500,62,0.005,292.629,9.232,297.0,274,304,910.339,445.386,944.5,60,1709,0.091,0.045,0.094,0.006,0.171
go,cpu,350,350,50,5000,1,15,17345,0,0.0,,,,,,,,,,,,,,,
