framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
go,cpu,30,30,200,1,30,30,1.0,594.033,0.183,594.0,594,595
go,cpu,30,30,200,2,30,30,1.0,608.033,0.183,608.0,608,609
go,cpu,30,30,200,3,30,30,1.0,594.267,9.738,588.0,588,609
go,cpu,30,30,200,4,30,30,1.0,557.767,51.33,567.0,286,568
go,cpu,30,30,200,5,30,30,1.0,600.5,8.496,604.0,583,606
go,cpu,30,30,200,6,30,30,1.0,587.933,6.13,586.0,585,606
go,cpu,30,30,200,7,30,30,1.0,586.933,0.254,587.0,586,587
go,cpu,30,30,200,8,30,30,1.0,600.267,9.37,606.0,585,606
go,cpu,30,30,200,9,30,30,1.0,587.2,3.773,587.0,586,607
go,cpu,30,30,200,10,30,30,1.0,586.9,0.305,587.0,586,587
go,cpu,30,30,200,11,30,30,1.0,600.133,9.881,607.0,586,607
go,cpu,30,30,200,12,30,30,1.0,583.333,0.479,583.0,583,584
go,cpu,30,30,200,13,30,30,1.0,583.767,0.504,584.0,582,584
go,cpu,30,30,200,14,30,30,1.0,597.333,10.25,605.0,585,606
go,cpu,30,30,200,15,30,30,1.0,586,0.0,586.0,586,586
go,cpu,30,30,200,16,30,30,1.0,584,0.0,584.0,584,584
go,cpu,30,30,200,17,30,30,1.0,594.4,10.852,604.0,583,605
go,cpu,30,30,200,18,30,30,1.0,586,0.0,586.0,586,586
go,cpu,30,30,200,19,30,30,1.0,583.167,0.379,583.0,583,584
go,cpu,30,30,200,20,30,30,1.0,593.367,10.186,584.0,584,605
go,cpu,30,30,200,21,30,30,1.0,585.3,0.466,585.0,585,586
go,cpu,30,30,200,22,30,30,1.0,603.367,0.49,603.0,603,604
go,cpu,30,30,200,23,30,30,1.0,592.133,9.533,586.0,586,607
go,cpu,30,30,200,24,30,30,1.0,587.2,0.407,587.0,587,588
go,cpu,30,30,200,25,30,30,1.0,602.667,5.074,604.0,584,604
go,cpu,30,30,200,26,30,30,1.0,590.433,8.744,586.0,585,606
go,cpu,30,30,200,27,30,30,1.0,583.5,0.509,583.5,583,584
go,cpu,30,30,200,28,30,30,1.0,603.5,6.991,606.0,586,607
go,cpu,30,30,200,29,30,30,1.0,583.733,0.45,584.0,583,584
go,cpu,30,30,200,30,30,30,1.0,603.133,3.821,604.0,583,604
go,cpu,30,30,200,31,30,30,1.0,589.6,9.224,584.0,584,605
go,cpu,30,30,200,32,30,30,1.0,584.3,0.466,584.0,584,585
go,cpu,30,30,200,33,30,30,1.0,602.233,6.196,604.0,584,605
go,cpu,30,30,200,34,30,30,1.0,589.7,8.301,586.0,585,606
go,cpu,30,30,200,35,30,30,1.0,583.6,0.498,584.0,583,584
go,cpu,30,30,200,36,30,30,1.0,602.833,8.124,606.0,585,607
go,cpu,30,30,200,37,30,30,1.0,603.033,6.117,605.0,585,606
go,cpu,30,30,200,38,30,30,1.0,588.6,8.353,585.0,584,605
go,cpu,30,30,200,39,30,30,1.0,584.433,0.504,584.0,584,585
go,cpu,30,30,200,40,30,30,1.0,600.3,7.879,604.0,583,604
go,cpu,30,30,200,41,30,30,1.0,589.3,7.077,587.0,586,607
go,cpu,30,30,200,42,30,30,1.0,585.2,0.407,585.0,585,586
go,cpu,30,30,200,43,30,30,1.0,602.467,8.685,607.0,587,608
go,cpu,30,30,200,44,30,30,1.0,585.333,5.074,584.0,584,604
go,cpu,30,30,200,45,30,30,1.0,585.9,7.227,583.0,583,604
go,cpu,30,30,200,46,30,30,1.0,584.167,0.379,584.0,584,585
go,cpu,30,30,200,47,30,30,1.0,600.233,9.35,606.0,585,606
go,cpu,30,30,200,48,30,30,1.0,586.7,3.743,586.0,585,606
go,cpu,30,30,200,49,30,30,1.0,585.567,0.504,586.0,585,586
go,cpu,30,30,200,50,30,30,1.0,605.567,17.24,604.0,584,623
go,cpu,55,55,200,1,55,55,1.0,1109.564,0.66,1109,1109,1111
go,cpu,55,55,200,2,55,55,1.0,1106.055,6.972,1109,1088,1109
go,cpu,55,55,200,3,55,55,1.0,1088.745,0.44,1089,1088,1089
go,cpu,55,55,200,4,55,55,1.0,1107.055,0.931,1107,1106,1108
go,cpu,55,55,200,5,55,55,1.0,1105.8,0.404,1106,1105,1106
go,cpu,55,55,200,6,55,55,1.0,1102.927,9.249,1108,1088,1109
go,cpu,55,55,200,7,55,55,1.0,1095.145,9.939,1087,1086,1108
go,cpu,55,55,200,8,55,55,1.0,1110.2,0.73,1110,1109,1112
go,cpu,55,55,200,9,55,55,1.0,1107,6.074,1109,1088,1110
go,cpu,55,55,200,10,55,55,1.0,1088.964,0.543,1089,1088,1090
go,cpu,55,55,200,11,55,55,1.0,1107.636,0.91,1107,1107,1109
go,cpu,55,55,200,12,55,55,1.0,1106.418,0.498,1106,1106,1107
go,cpu,55,55,200,13,55,55,1.0,1101.764,8.861,1106,1086,1107
go,cpu,55,55,200,14,55,55,1.0,1086.618,0.733,1087,1085,1087
go,cpu,55,55,200,15,55,55,1.0,1088.055,0.591,1088,1087,1090
go,cpu,55,55,200,16,55,55,1.0,1109.018,18.056,1107,1086,1126
go,cpu,55,55,200,17,55,55,1.0,1089.291,0.658,1089,1088,1090
go,cpu,55,55,200,18,55,55,1.0,1109.491,0.505,1109,1109,1110
go,cpu,55,55,200,19,55,55,1.0,1102.527,7.871,1106,1086,1107
go,cpu,55,55,200,20,55,55,1.0,1105.364,18.887,1107,1086,1126
go,cpu,55,55,200,21,55,55,1.0,1108.636,0.485,1109,1108,1109
go,cpu,55,55,200,22,55,55,1.0,1108.691,0.505,1109,1107,1109
go,cpu,55,55,200,23,55,55,1.0,1106,0.192,1106,1105,1107
go,cpu,55,55,200,24,55,55,1.0,1106.418,0.498,1106,1106,1107
