framework,scenario,N,T,yield_interval_ms,run_index,n_requests,n_cancelled,run_cancel_rate,L1_mean,L1_sd,L1_median,L1_min,L1_max
go,cpu,1,1,25,1,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,2,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,25,3,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,25,4,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,5,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,6,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,25,7,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,25,8,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,9,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,25,10,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,11,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,12,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,25,13,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,14,1,1,1.0,4,0.0,4,4,4
go,cpu,1,1,25,15,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,16,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,17,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,25,18,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,19,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,20,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,25,21,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,22,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,23,1,1,1.0,2,0.0,2,2,2
go,cpu,1,1,25,24,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,25,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,26,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,25,27,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,25,28,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,29,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,25,30,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,1,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,50,2,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,3,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,50,4,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,50,5,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,6,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,7,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,50,8,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,50,9,1,1,1.0,4,0.0,4,4,4
go,cpu,1,1,50,10,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,11,1,1,1.0,2,0.0,2,2,2
go,cpu,1,1,50,12,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,50,13,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,14,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,15,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,50,16,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,17,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,50,18,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,19,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,20,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,50,21,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,50,22,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,50,23,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,24,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,50,25,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,26,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,27,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,50,28,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,50,29,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,50,30,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,100,1,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,100,2,1,1,1.0,0,0.0,0,0,0
go,cpu,1,1,100,3,1,1,1.0,1,0.0,1,1,1
go,cpu,1,1,100,4,1,1,1.0,5,0.0,5,5,5
go,cpu,1,1,100,5,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,100,6,1,1,1.0,4,0.0,4,4,4
go,cpu,1,1,100,7,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,100,8,1,1,1.0,3,0.0,3,3,3
go,cpu,1,1,100,9,1,1,1.0,1,0.0,1,1,1
