framework,N,run_index,cancel_after_ms,n_requests,n_detected,detection_rate,db_cancelled,db_cancel_latency_ms,ghost_holdtime_ms
aspnet,1,1,6000,1,1,1.0,1,27,27
aspnet,1,2,6000,1,1,1.0,1,28,28
aspnet,1,3,6000,1,1,1.0,1,29,29
aspnet,1,4,6000,1,1,1.0,1,42,42
aspnet,1,5,6000,1,1,1.0,1,68,68
aspnet,1,6,6000,1,1,1.0,1,45,45
aspnet,1,7,6000,1,1,1.0,1,33,33
aspnet,1,8,6000,1,1,1.0,1,61,61
aspnet,1,9,6000,1,1,1.0,1,25,25
aspnet,1,10,6000,1,1,1.0,1,38,38
aspnet,5,1,6000,5,5,1.0,1,50,50
aspnet,5,2,6000,5,5,1.0,1,54,54
aspnet,5,3,6000,5,5,1.0,1,45,45
aspnet,5,4,6000,5,5,1.0,1,25,25
aspnet,5,5,6000,5,5,1.0,1,20,20
aspnet,5,6,6000,5,5,1.0,1,177,177
aspnet,5,7,6000,5,5,1.0,1,39,39
aspnet,5,8,6000,5,5,1.0,1,176,176
aspnet,5,9,6000,5,5,1.0,1,88,88
aspnet,5,10,6000,5,5,1.0,1,50,50
aspnet,10,1,6000,10,10,1.0,1,61,61
aspnet,10,2,6000,10,10,1.0,1,26,26
aspnet,10,3,6000,10,10,1.0,1,67,67
aspnet,10,4,6000,10,10,1.0,1,33,33
aspnet,10,5,6000,10,10,1.0,1,33,33
aspnet,10,6,6000,10,10,1.0,1,52,52
aspnet,10,7,6000,10,10,1.0,1,64,64
aspnet,10,8,6000,10,10,1.0,1,65,65
aspnet,10,9,6000,10,10,1.0,1,53,53
aspnet,10,10,6000,10,10,1.0,1,37,37
aspnet,25,1,6000,25,25,1.0,1,86,86
aspnet,25,2,6000,25,25,1.0,1,91,91
aspnet,25,3,6000,25,25,1.0,1,57,57
aspnet,25,4,6000,25,25,1.0,1,58,58
aspnet,25,5,6000,25,25,1.0,1,88,88
aspnet,25,6,6000,25,25,1.0,1,52,52
aspnet,25,7,6000,25,25,1.0,1,73,73
aspnet,25,8,6000,25,25,1.0,1,139,139
aspnet,25,9,6000,25,25,1.0,1,245,245
aspnet,25,10,6000,25,25,1.0,1,147,147
aspnet,50,1,6000,50,50,1.0,1,184,184
aspnet,50,2,6000,50,50,1.0,1,112,112
aspnet,50,3,6000,50,50,1.0,1,117,117
aspnet,50,4,6000,50,50,1.0,1,108,108
aspnet,50,5,6000,50,50,1.0,1,109,109
aspnet,50,6,6000,50,50,1.0,1,113,113
aspnet,50,7,6000,50,50,1.0,1,107,107
aspnet,50,8,6000,50,50,1.0,1,120,120
aspnet,50,9,6000,50,50,1.0,1,115,115
aspnet,50,10,6000,50,50,1.0,1,124,124
aspnet,100,1,6000,100,100,1.0,1,0,0
aspnet,100,2,6000,100,100,1.0,1,0,0
aspnet,100,3,6000,100,100,1.0,1,0,0
aspnet,100,4,6000,100,100,1.0,1,0,0
aspnet,100,5,6000,100,100,1.0,1,0,0
aspnet,100,6,6000,100,100,1.0,1,0,0
aspnet,100,7,6000,100,100,1.0,1,0,0
aspnet,100,8,6000,100,100,1.0,1,0,0
aspnet,100,9,6000,100,100,1.0,1,0,0
aspnet,100,10,6000,100,100,1.0,1,0,0
aspnet,200,1,6000,200,200,1.0,1,0,0
aspnet,200,2,6000,200,200,1.0,1,0,0
aspnet,200,3,6000,200,200,1.0,1,0,0
aspnet,200,4,6000,200,200,1.0,1,0,0
aspnet,200,5,6000,200,200,1.0,1,0,0
aspnet,200,6,6000,200,200,1.0,1,0,0
aspnet,200,7,6000,200,200,1.0,1,0,0
aspnet,200,8,6000,200,200,1.0,1,0,0
aspnet,200,9,6000,200,200,1.0,1,0,0
aspnet,200,10,6000,200,200,1.0,1,0,0
webflux,1,1,6000,1,1,1.0,0,,4783
webflux,1,2,6000,1,1,1.0,0,,4115
webflux,1,3,6000,1,1,1.0,0,,4105
webflux,1,4,6000,1,1,1.0,0,,4107
webflux,1,5,6000,1,1,1.0,0,,4122
webflux,1,6,6000,1,1,1.0,0,,4130
webflux,1,7,6000,1,1,1.0,0,,4132
webflux,1,8,6000,1,1,1.0,0,,4091
webflux,1,9,6000,1,1,1.0,0,,4096
webflux,1,10,6000,1,1,1.0,0,,4132
webflux,5,1,6000,5,5,1.0,0,,4118
webflux,5,2,6000,5,5,1.0,0,,4140
webflux,5,3,6000,5,5,1.0,0,,4124
webflux,5,4,6000,5,5,1.0,0,,4119
webflux,5,5,6000,5,5,1.0,0,,4128
webflux,5,6,6000,5,5,1.0,0,,4114
webflux,5,7,6000,5,5,1.0,0,,4138
webflux,5,8,6000,5,5,1.0,0,,4125
webflux,5,9,6000,5,5,1.0,0,,4125
webflux,5,10,6000,5,5,1.0,0,,4112
webflux,10,1,6000,10,10,1.0,0,,4133
webflux,10,2,6000,10,10,1.0,0,,4110
webflux,10,3,6000,10,10,1.0,0,,4133
webflux,10,4,6000,10,10,1.0,0,,4136
webflux,10,5,6000,10,10,1.0,0,,4161
webflux,10,6,6000,10,10,1.0,0,,4172
webflux,10,7,6000,10,10,1.0,0,,4110
webflux,10,8,6000,10,10,1.0,0,,4107
webflux,10,9,6000,10,10,1.0,0,,4139
webflux,10,10,6000,10,10,1.0,0,,4135
webflux,25,1,6000,25,25,1.0,0,,4136
webflux,25,2,6000,25,25,1.0,0,,4137
webflux,25,3,6000,25,25,1.0,0,,4108
webflux,25,4,6000,25,25,1.0,0,,4136
webflux,25,5,6000,25,25,1.0,0,,14128
webflux,25,6,6000,25,25,1.0,0,,14155
webflux,25,7,6000,25,25,1.0,0,,4133
webflux,25,8,6000,25,25,1.0,0,,4129
webflux,25,9,6000,25,25,1.0,0,,14207
webflux,25,10,6000,25,25,1.0,0,,4122
webflux,50,1,6000,50,50,1.0,0,,4119
webflux,50,2,6000,50,50,1.0,0,,4142
webflux,50,3,6000,50,50,1.0,0,,14126
webflux,50,4,6000,50,50,1.0,0,,4137
webflux,50,5,6000,50,50,1.0,0,,4142
webflux,50,6,6000,50,50,1.0,0,,
webflux,50,7,6000,50,50,1.0,0,,14151
webflux,50,8,6000,50,50,1.0,0,,
webflux,50,9,6000,50,50,1.0,0,,
webflux,50,10,6000,50,50,1.0,0,,
webflux,100,1,6000,100,100,1.0,0,,14127
webflux,100,2,6000,100,100,1.0,0,,
webflux,100,3,6000,100,100,1.0,0,,14141
webflux,100,4,6000,100,100,1.0,0,,14135
webflux,100,5,6000,100,100,1.0,0,,
webflux,100,6,6000,100,100,1.0,0,,14130
webflux,100,7,6000,100,100,1.0,0,,14167
webflux,100,8,6000,100,100,1.0,0,,14145
webflux,100,9,6000,100,100,1.0,0,,
webflux,100,10,6000,100,100,1.0,0,,
webflux,200,1,6000,200,200,1.0,0,,18836
webflux,200,2,6000,200,200,1.0,0,,
webflux,200,3,6000,200,200,1.0,0,,
webflux,200,4,6000,200,200,1.0,0,,
webflux,200,5,6000,200,200,1.0,0,,
webflux,200,6,6000,200,200,1.0,0,,14167
webflux,200,7,6000,200,200,1.0,0,,
webflux,200,8,6000,200,200,1.0,0,,
webflux,200,9,6000,200,200,1.0,0,,14171
webflux,200,10,6000,200,200,1.0,0,,
mvc,1,1,6000,1,0,0.0,0,,4588
mvc,1,2,6000,1,0,0.0,0,,4121
mvc,1,3,6000,1,0,0.0,0,,4120
mvc,1,4,6000,1,0,0.0,0,,4159
mvc,1,5,6000,1,0,0.0,0,,4029
aspnet,5,1,6000,5,5,1.0,1,39,39
aspnet,5,2,6000,5,5,1.0,1,56,56
aspnet,5,3,6000,5,5,1.0,1,72,72
webflux,5,1,6000,5,5,1.0,0,,5225
webflux,5,2,6000,5,5,1.0,0,,4142
webflux,5,3,6000,5,5,1.0,0,,4037
