framework,N,run_index,cancel_after_ms,n_requests,n_detected,detection_rate,cursor_cancelled,rows_consumed,ghost_holdtime_ms
aspnet,1,1,2000,1,1,1.0,1.0,,40
aspnet,1,2,2000,1,1,1.0,1.0,,63
aspnet,1,3,2000,1,1,1.0,1.0,,86
aspnet,1,4,2000,1,1,1.0,1.0,,74
aspnet,1,5,2000,1,1,1.0,1.0,,114
aspnet,1,6,2000,1,1,1.0,1.0,,75
aspnet,1,7,2000,1,1,1.0,1.0,,88
aspnet,1,8,2000,1,1,1.0,1.0,,132
aspnet,1,9,2000,1,1,1.0,1.0,,94
aspnet,1,10,2000,1,1,1.0,1.0,,75
aspnet,5,1,2000,5,5,1.0,1.0,,100
aspnet,5,2,2000,5,5,1.0,1.0,,122
aspnet,5,3,2000,5,5,1.0,1.0,,123
aspnet,5,4,2000,5,5,1.0,1.0,,90
aspnet,5,5,2000,5,5,1.0,1.0,,106
aspnet,5,6,2000,5,5,1.0,1.0,,85
aspnet,5,7,2000,5,5,1.0,1.0,,101
aspnet,5,8,2000,5,5,1.0,1.0,,91
aspnet,5,9,2000,5,5,1.0,1.0,,105
aspnet,5,10,2000,5,5,1.0,1.0,,95
aspnet,10,1,2000,10,10,1.0,1.0,,148
aspnet,10,2,2000,10,10,1.0,1.0,,119
aspnet,10,3,2000,10,10,1.0,1.0,,134
aspnet,10,4,2000,10,10,1.0,1.0,,115
aspnet,10,5,2000,10,10,1.0,1.0,,115
aspnet,10,6,2000,10,10,1.0,1.0,,117
aspnet,10,7,2000,10,10,1.0,1.0,,105
aspnet,10,8,2000,10,10,1.0,1.0,,111
aspnet,10,9,2000,10,10,1.0,1.0,,114
aspnet,10,10,2000,10,10,1.0,1.0,,111
webflux,1,1,2000,1,1,1.0,1.0,,
webflux,1,2,2000,1,1,1.0,1.0,,
webflux,1,3,2000,1,1,1.0,1.0,,
webflux,1,4,2000,1,1,1.0,1.0,,
webflux,1,5,2000,1,1,1.0,1.0,,
webflux,1,6,2000,1,1,1.0,1.0,,
webflux,1,7,2000,1,1,1.0,1.0,,
webflux,1,8,2000,1,1,1.0,1.0,,
webflux,1,9,2000,1,1,1.0,1.0,,
webflux,1,10,2000,1,1,1.0,1.0,,
webflux,5,1,2000,5,5,1.0,1.0,,
webflux,5,2,2000,5,5,1.0,1.0,,
webflux,5,3,2000,5,5,1.0,1.0,,
webflux,5,4,2000,5,5,1.0,1.0,,
webflux,5,5,2000,5,5,1.0,1.0,,
webflux,5,6,2000,5,5,1.0,1.0,,
webflux,5,7,2000,5,5,1.0,1.0,,
webflux,5,8,2000,5,5,1.0,1.0,,
webflux,5,9,2000,5,5,1.0,1.0,,
webflux,5,10,2000,5,5,1.0,1.0,,
webflux,10,1,2000,10,10,1.0,1.0,,
webflux,10,2,2000,10,10,1.0,1.0,,
webflux,10,3,2000,10,10,1.0,1.0,,
webflux,10,4,2000,10,10,1.0,1.0,,
webflux,10,5,2000,10,10,1.0,1.0,,
webflux,10,6,2000,10,10,1.0,1.0,,
webflux,10,7,2000,10,10,1.0,1.0,,
webflux,10,8,2000,10,10,1.0,1.0,,
webflux,10,9,2000,10,10,1.0,1.0,,
webflux,10,10,2000,10,10,1.0,1.0,,
webflux,1,1,2000,1,1,1.0,1.0,,
webflux,1,1,2000,1,1,1.0,1.0,,
webflux,1,1,2000,1,1,1.0,1.0,,
webflux,1,1,2000,1,1,1.0,1.0,,
webflux,1,1,2000,1,1,1.0,1.0,,
webflux,1,1,2000,1,1,1.0,1.0,,
webflux,1,1,2000,1,1,1.0,1.0,,31659
webflux,1,2,2000,1,1,1.0,1.0,,30813
webflux,1,3,2000,1,1,1.0,1.0,,30873
webflux,1,4,2000,1,1,1.0,1.0,,30713
webflux,1,5,2000,1,1,1.0,1.0,,30762
webflux,5,1,2000,5,5,1.0,1.0,,31801
webflux,5,2,2000,5,5,1.0,1.0,,30785
webflux,5,3,2000,5,5,1.0,1.0,,30796
webflux,5,4,2000,5,5,1.0,1.0,,30653
webflux,5,5,2000,5,5,1.0,1.0,,30751
webflux,10,1,2000,10,10,1.0,1.0,,31991
webflux,10,2,2000,10,10,1.0,1.0,,30837
webflux,10,3,2000,10,10,1.0,1.0,,30875
