framework,pool,X,t_s,active_pgsleep,total_conns,idle_in_tx
aspnet,10,1.5,0.2,1,6,0
aspnet,10,1.5,0.8,2,6,0
aspnet,10,1.5,1.5,2,6,0
aspnet,10,1.5,2.2,2,6,0
aspnet,10,1.5,2.8,2,6,0
aspnet,10,1.5,3.5,2,6,0
aspnet,10,1.5,4.2,3,6,0
aspnet,10,1.5,4.9,3,6,0
aspnet,10,1.5,5.5,3,6,0
aspnet,10,1.5,6.2,3,6,0
aspnet,10,1.5,6.9,3,6,0
aspnet,10,1.5,7.6,4,6,0
aspnet,10,1.5,8.2,4,6,0
aspnet,10,1.5,8.9,4,6,0
aspnet,10,1.5,9.6,4,6,0
aspnet,10,1.5,10.2,3,6,0
aspnet,10,1.5,10.9,4,6,0
aspnet,10,1.5,11.6,4,6,0
aspnet,10,1.5,12.2,4,6,0
aspnet,10,1.5,12.9,4,6,0
aspnet,10,1.5,13.6,3,6,0
aspnet,10,1.5,14.3,4,6,0
aspnet,10,1.5,14.9,4,6,0
aspnet,10,1.5,15.6,4,6,0
aspnet,10,1.5,16.3,4,6,0
aspnet,10,1.5,16.9,3,6,0
aspnet,10,1.5,17.6,4,6,0
aspnet,10,1.5,18.3,4,6,0
aspnet,10,1.5,19.0,4,6,0
aspnet,10,1.5,19.6,4,6,0
aspnet,10,1.5,20.3,3,6,0
aspnet,10,1.5,21.0,4,6,0
aspnet,10,1.5,21.7,4,6,0
aspnet,10,1.5,22.3,4,6,0
aspnet,10,1.5,23.0,4,6,0
aspnet,10,1.5,23.7,3,6,0
aspnet,10,1.5,24.3,4,6,0
aspnet,10,1.5,25.0,4,6,0
aspnet,10,1.5,25.7,4,6,0
aspnet,10,1.5,26.3,4,6,0
aspnet,10,1.5,27.0,3,6,0
aspnet,10,1.5,27.7,4,6,0
aspnet,10,1.5,28.4,4,6,0
aspnet,10,1.5,29.1,4,6,0
aspnet,10,1.5,29.7,4,6,0
aspnet,10,1.5,30.4,3,6,0
aspnet,10,1.5,31.1,4,6,0
aspnet,10,1.5,31.7,4,6,0
aspnet,10,1.5,32.4,4,6,0
aspnet,10,1.5,33.1,4,6,0
aspnet,10,1.5,33.8,3,6,0
aspnet,10,1.5,34.4,4,6,0
aspnet,10,1.5,35.1,4,6,0
aspnet,10,1.5,35.8,4,6,0
aspnet,10,1.5,36.4,4,6,0
aspnet,10,1.5,37.1,3,6,0
aspnet,10,1.5,37.8,4,6,0
aspnet,10,1.5,38.5,4,6,0
aspnet,10,1.5,39.1,4,6,0
aspnet,10,1.5,39.8,4,6,0
aspnet,10,1.5,40.5,3,6,0
aspnet,10,1.5,41.2,4,6,0
aspnet,10,1.5,41.8,4,6,0
aspnet,10,1.5,42.5,4,6,0
aspnet,10,1.5,43.2,4,6,0
aspnet,10,1.5,43.8,3,6,0
aspnet,10,1.5,44.5,4,6,0
aspnet,10,1.5,45.2,4,6,0
aspnet,10,1.5,45.8,4,6,0
aspnet,10,1.5,46.5,4,6,0
aspnet,10,1.5,47.2,3,6,0
aspnet,10,1.5,47.9,4,6,0
aspnet,10,1.5,48.5,4,6,0
aspnet,10,1.5,49.2,4,6,0
aspnet,10,1.5,49.9,4,6,0
