framework,D_ms,trial,ghost_write,outer_exception_type,inner_exception_type,inner_sql_state
aspnet,50,1,0,OperationCanceledException,None,None
aspnet,50,2,0,OperationCanceledException,PostgresException,57014
aspnet,50,3,0,OperationCanceledException,PostgresException,57014
aspnet,50,4,1,,,
aspnet,50,5,1,,,
aspnet,50,6,1,,,
aspnet,50,7,1,,,
aspnet,50,8,1,,,
aspnet,50,9,1,,,
aspnet,50,10,1,,,
aspnet,50,11,1,,,
aspnet,50,12,1,,,
aspnet,50,13,1,,,
aspnet,50,14,1,,,
aspnet,50,15,1,,,
aspnet,50,16,1,,,
aspnet,50,17,1,,,
aspnet,50,18,1,,,
aspnet,50,19,1,,,
aspnet,50,20,1,,,
aspnet,75,1,0,OperationCanceledException,PostgresException,57014
aspnet,75,2,0,OperationCanceledException,PostgresException,57014
aspnet,75,3,0,OperationCanceledException,PostgresException,57014
aspnet,75,4,0,OperationCanceledException,PostgresException,57014
aspnet,75,5,0,OperationCanceledException,PostgresException,57014
aspnet,75,6,0,OperationCanceledException,PostgresException,57014
aspnet,75,7,0,OperationCanceledException,PostgresException,57014
aspnet,75,8,0,OperationCanceledException,PostgresException,57014
aspnet,75,9,0,OperationCanceledException,PostgresException,57014
aspnet,75,10,0,OperationCanceledException,PostgresException,57014
aspnet,75,11,0,OperationCanceledException,PostgresException,57014
aspnet,75,12,0,OperationCanceledException,PostgresException,57014
aspnet,75,13,0,OperationCanceledException,PostgresException,57014
aspnet,75,14,0,OperationCanceledException,PostgresException,57014
aspnet,75,15,0,OperationCanceledException,PostgresException,57014
aspnet,75,16,0,OperationCanceledException,PostgresException,57014
aspnet,75,17,0,OperationCanceledException,PostgresException,57014
aspnet,75,18,0,OperationCanceledException,PostgresException,57014
aspnet,75,19,0,OperationCanceledException,PostgresException,57014
aspnet,75,20,0,OperationCanceledException,PostgresException,57014
aspnet,100,1,0,OperationCanceledException,PostgresException,57014
aspnet,100,2,0,OperationCanceledException,PostgresException,57014
aspnet,100,3,0,OperationCanceledException,PostgresException,57014
