framework,D_category,D_ms,trial,ghost_write,outer_exception_type,inner_exception_type,inner_sql_state
aspnet,below_dstar,10,1,0,OperationCanceledException,None,None
aspnet,below_dstar,10,2,1,,,
aspnet,below_dstar,10,3,1,,,
aspnet,below_dstar,10,4,1,,,
aspnet,below_dstar,10,5,1,,,
aspnet,below_dstar,10,6,1,,,
aspnet,below_dstar,10,7,1,,,
aspnet,below_dstar,10,8,1,,,
aspnet,below_dstar,10,9,1,,,
aspnet,below_dstar,10,10,1,,,
aspnet,below_dstar,10,11,1,,,
aspnet,below_dstar,10,12,1,,,
aspnet,below_dstar,10,13,1,,,
aspnet,below_dstar,10,14,1,,,
aspnet,below_dstar,10,15,1,,,
aspnet,below_dstar,10,16,1,,,
aspnet,below_dstar,10,17,1,,,
aspnet,below_dstar,10,18,1,,,
aspnet,below_dstar,10,19,1,,,
aspnet,below_dstar,10,20,1,,,
aspnet,below_dstar,10,21,1,,,
aspnet,below_dstar,10,22,1,,,
aspnet,below_dstar,10,23,1,,,
aspnet,below_dstar,10,24,1,,,
aspnet,below_dstar,10,25,1,,,
aspnet,below_dstar,10,26,1,,,
aspnet,below_dstar,10,27,1,,,
aspnet,below_dstar,10,28,1,,,
aspnet,below_dstar,10,29,1,,,
aspnet,below_dstar,10,30,1,,,
aspnet,above_dstar,110,1,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,2,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,3,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,4,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,5,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,6,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,7,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,8,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,9,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,10,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,11,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,12,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,13,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,14,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,15,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,16,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,17,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,18,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,19,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,20,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,21,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,22,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,23,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,24,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,25,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,26,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,27,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,28,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,29,0,OperationCanceledException,PostgresException,57014
aspnet,above_dstar,110,30,0,OperationCanceledException,PostgresException,57014
