framework,D_ms,trial,ghost_write
aspnet,52,1,0
aspnet,52,2,0
aspnet,52,3,0
aspnet,52,4,0
aspnet,52,5,0
aspnet,52,6,0
aspnet,52,7,0
aspnet,52,8,0
aspnet,52,9,1
aspnet,52,10,0
aspnet,52,11,0
aspnet,52,12,0
aspnet,52,13,0
aspnet,52,14,1
aspnet,52,15,0
aspnet,52,16,1
aspnet,52,17,0
aspnet,52,18,0
aspnet,52,19,0
aspnet,52,20,0
aspnet,52,21,0
aspnet,52,22,0
aspnet,52,23,0
aspnet,52,24,1
aspnet,52,25,0
aspnet,52,26,0
aspnet,52,27,0
aspnet,52,28,0
aspnet,52,29,1
aspnet,52,30,1
aspnet,52,31,1
aspnet,52,32,0
aspnet,52,33,0
aspnet,52,34,0
aspnet,52,35,0
aspnet,52,36,0
aspnet,52,37,0
aspnet,52,38,0
aspnet,52,39,0
aspnet,52,40,0
aspnet,52,41,0
aspnet,52,42,0
aspnet,52,43,0
aspnet,52,44,0
aspnet,52,45,0
aspnet,52,46,0
aspnet,52,47,0
aspnet,52,48,0
aspnet,52,49,0
aspnet,52,50,0
aspnet,54,1,0
aspnet,54,2,0
aspnet,54,3,1
aspnet,54,4,0
aspnet,54,5,1
aspnet,54,6,0
aspnet,54,7,0
aspnet,54,8,0
aspnet,54,9,0
aspnet,54,10,0
aspnet,54,11,1
aspnet,54,12,0
aspnet,54,13,0
aspnet,54,14,0
aspnet,54,15,0
aspnet,54,16,0
aspnet,54,17,0
aspnet,54,18,0
aspnet,54,19,0
aspnet,54,20,0
aspnet,54,21,0
aspnet,54,22,0
aspnet,54,23,0
aspnet,54,24,0
aspnet,54,25,0
aspnet,54,26,0
aspnet,54,27,0
aspnet,54,28,0
aspnet,54,29,0
aspnet,54,30,0
aspnet,54,31,0
aspnet,54,32,0
aspnet,54,33,0
aspnet,54,34,0
aspnet,54,35,0
aspnet,54,36,0
aspnet,54,37,0
aspnet,54,38,0
aspnet,54,39,0
aspnet,54,40,0
aspnet,54,41,0
aspnet,54,42,0
aspnet,54,43,0
aspnet,54,44,0
aspnet,54,45,0
aspnet,54,46,0
aspnet,54,47,0
aspnet,54,48,0
aspnet,54,49,0
aspnet,54,50,0
aspnet,60,1,0
aspnet,60,2,0
aspnet,60,3,0
aspnet,60,4,0
aspnet,60,5,0
aspnet,60,6,0
aspnet,60,7,0
aspnet,60,8,0
aspnet,60,9,0
aspnet,60,10,0
aspnet,60,11,0
aspnet,60,12,0
aspnet,60,13,0
aspnet,60,14,0
aspnet,60,15,0
aspnet,60,16,0
aspnet,60,17,0
aspnet,60,18,0
aspnet,60,19,0
aspnet,60,20,0
aspnet,60,21,0
aspnet,60,22,0
aspnet,60,23,0
aspnet,60,24,0
aspnet,60,25,0
aspnet,60,26,0
aspnet,60,27,0
aspnet,60,28,0
aspnet,60,29,0
aspnet,60,30,0
aspnet,60,31,0
aspnet,60,32,0
aspnet,60,33,0
aspnet,60,34,0
aspnet,60,35,0
aspnet,60,36,0
aspnet,60,37,0
aspnet,60,38,0
aspnet,60,39,0
aspnet,60,40,0
aspnet,60,41,0
aspnet,60,42,0
aspnet,60,43,0
aspnet,60,44,0
aspnet,60,45,0
aspnet,60,46,0
aspnet,60,47,0
aspnet,60,48,0
aspnet,60,49,0
aspnet,60,50,0
aspnet,50,1,1
aspnet,50,2,1
aspnet,50,3,1
aspnet,50,4,1
aspnet,50,5,1
aspnet,50,6,0
aspnet,50,7,1
aspnet,50,8,0
aspnet,50,9,1
aspnet,50,10,1
aspnet,50,11,1
aspnet,50,12,0
aspnet,50,13,1
aspnet,50,14,1
aspnet,50,15,1
aspnet,50,16,1
aspnet,50,17,1
aspnet,50,18,1
aspnet,50,19,1
aspnet,50,20,1
aspnet,50,21,1
aspnet,50,22,1
aspnet,50,23,1
aspnet,50,24,1
aspnet,50,25,1
aspnet,50,26,1
aspnet,50,27,1
aspnet,50,28,1
aspnet,50,29,1
aspnet,50,30,1
aspnet,50,31,1
aspnet,50,32,1
aspnet,50,33,1
aspnet,50,34,1
aspnet,50,35,1
aspnet,50,36,1
aspnet,50,37,1
aspnet,50,38,1
aspnet,50,39,1
aspnet,50,40,1
aspnet,50,41,1
aspnet,50,42,1
aspnet,50,43,1
aspnet,50,44,1
aspnet,50,45,1
aspnet,50,46,1
aspnet,50,47,1
aspnet,50,48,1
aspnet,50,49,1
aspnet,50,50,1
aspnet,35,1,1
aspnet,35,2,1
aspnet,35,3,1
aspnet,35,4,1
aspnet,35,5,1
aspnet,35,6,1
aspnet,35,7,1
aspnet,35,8,1
aspnet,35,9,1
aspnet,35,10,1
aspnet,35,11,1
aspnet,35,12,1
aspnet,35,13,1
aspnet,35,14,1
aspnet,35,15,1
aspnet,35,16,1
aspnet,35,17,1
aspnet,35,18,1
aspnet,35,19,1
aspnet,35,20,1
aspnet,35,21,1
aspnet,35,22,1
aspnet,35,23,1
aspnet,35,24,1
aspnet,35,25,1
aspnet,35,26,1
aspnet,35,27,1
aspnet,35,28,1
aspnet,35,29,1
aspnet,35,30,1
aspnet,35,31,1
aspnet,35,32,1
aspnet,35,33,1
aspnet,35,34,1
aspnet,35,35,1
aspnet,35,36,1
aspnet,35,37,1
aspnet,35,38,1
aspnet,35,39,1
aspnet,35,40,1
aspnet,35,41,1
aspnet,35,42,1
aspnet,35,43,1
aspnet,35,44,1
aspnet,35,45,1
aspnet,35,46,1
aspnet,35,47,1
aspnet,35,48,1
aspnet,35,49,1
aspnet,35,50,1
aspnet,48,1,1
aspnet,48,2,1
aspnet,48,3,1
