framework,D_ms,trial,ghost_write
aspnet,206,1,0
aspnet,206,2,0
aspnet,206,3,0
aspnet,206,4,0
aspnet,206,5,0
aspnet,206,6,0
aspnet,206,7,0
aspnet,206,8,0
aspnet,206,9,0
aspnet,206,10,0
aspnet,206,11,0
aspnet,206,12,0
aspnet,206,13,0
aspnet,206,14,0
aspnet,206,15,0
aspnet,206,16,0
aspnet,206,17,0
aspnet,206,18,0
aspnet,206,19,0
aspnet,206,20,0
aspnet,206,21,0
aspnet,206,22,0
aspnet,206,23,0
aspnet,206,24,0
aspnet,206,25,0
aspnet,206,26,0
aspnet,206,27,0
aspnet,206,28,0
aspnet,206,29,0
aspnet,206,30,0
aspnet,280,1,0
aspnet,280,2,0
aspnet,280,3,0
aspnet,280,4,0
aspnet,280,5,0
aspnet,280,6,0
aspnet,280,7,0
aspnet,280,8,0
aspnet,280,9,0
aspnet,280,10,0
aspnet,280,11,0
aspnet,280,12,0
aspnet,280,13,0
aspnet,280,14,0
aspnet,280,15,0
aspnet,280,16,0
aspnet,280,17,0
aspnet,280,18,0
aspnet,280,19,0
aspnet,280,20,0
aspnet,280,21,0
aspnet,280,22,0
aspnet,280,23,0
aspnet,280,24,0
aspnet,280,25,0
aspnet,280,26,0
aspnet,280,27,0
aspnet,280,28,0
aspnet,280,29,0
aspnet,280,30,0
aspnet,204,1,0
aspnet,204,2,0
aspnet,204,3,0
aspnet,204,4,0
aspnet,204,5,0
aspnet,204,6,0
aspnet,204,7,0
aspnet,204,8,0
aspnet,204,9,0
aspnet,204,10,0
aspnet,204,11,0
aspnet,204,12,0
aspnet,204,13,0
aspnet,204,14,0
aspnet,204,15,0
aspnet,204,16,0
aspnet,204,17,0
aspnet,204,18,0
aspnet,204,19,0
aspnet,204,20,0
aspnet,204,21,0
aspnet,204,22,0
aspnet,204,23,0
aspnet,204,24,0
aspnet,204,25,0
aspnet,204,26,0
aspnet,204,27,0
aspnet,204,28,0
aspnet,204,29,0
aspnet,204,30,0
aspnet,185,1,1
aspnet,185,2,1
aspnet,185,3,1
aspnet,185,4,1
aspnet,185,5,1
aspnet,185,6,1
aspnet,185,7,1
aspnet,185,8,1
aspnet,185,9,1
aspnet,185,10,1
aspnet,185,11,1
aspnet,185,12,1
aspnet,185,13,1
aspnet,185,14,1
aspnet,185,15,1
aspnet,185,16,1
aspnet,185,17,1
aspnet,185,18,1
aspnet,185,19,1
aspnet,185,20,1
aspnet,185,21,1
aspnet,185,22,1
aspnet,185,23,1
aspnet,185,24,1
aspnet,185,25,1
aspnet,185,26,1
aspnet,185,27,1
aspnet,185,28,1
aspnet,185,29,1
aspnet,185,30,1
aspnet,198,1,1
aspnet,198,2,1
aspnet,198,3,1
aspnet,198,4,1
aspnet,198,5,1
aspnet,198,6,1
aspnet,198,7,1
aspnet,198,8,0
aspnet,198,9,1
aspnet,198,10,1
aspnet,198,11,1
aspnet,198,12,1
aspnet,198,13,1
aspnet,198,14,1
aspnet,198,15,1
aspnet,198,16,1
aspnet,198,17,1
aspnet,198,18,1
aspnet,198,19,1
aspnet,198,20,1
aspnet,198,21,1
aspnet,198,22,1
aspnet,198,23,1
aspnet,198,24,1
aspnet,198,25,1
aspnet,198,26,1
aspnet,198,27,1
aspnet,198,28,1
aspnet,198,29,1
aspnet,198,30,1
aspnet,200,1,0
aspnet,200,2,0
aspnet,200,3,0
aspnet,200,4,1
aspnet,200,5,1
aspnet,200,6,0
aspnet,200,7,0
aspnet,200,8,0
aspnet,200,9,0
aspnet,200,10,0
aspnet,200,11,0
aspnet,200,12,0
aspnet,200,13,0
aspnet,200,14,0
aspnet,200,15,0
aspnet,200,16,0
aspnet,200,17,0
aspnet,200,18,0
aspnet,200,19,0
aspnet,200,20,0
aspnet,200,21,0
aspnet,200,22,0
aspnet,200,23,0
aspnet,200,24,0
aspnet,200,25,0
aspnet,200,26,0
aspnet,200,27,0
aspnet,200,28,0
aspnet,200,29,0
aspnet,200,30,0
aspnet,208,1,0
aspnet,208,2,0
aspnet,208,3,0
aspnet,208,4,0
aspnet,208,5,0
aspnet,208,6,0
aspnet,208,7,0
aspnet,208,8,0
aspnet,208,9,0
aspnet,208,10,0
aspnet,208,11,0
aspnet,208,12,0
aspnet,208,13,0
aspnet,208,14,0
aspnet,208,15,0
aspnet,208,16,0
aspnet,208,17,0
aspnet,208,18,0
aspnet,208,19,0
aspnet,208,20,0
aspnet,208,21,0
aspnet,208,22,0
aspnet,208,23,0
aspnet,208,24,0
aspnet,208,25,0
aspnet,208,26,0
aspnet,208,27,0
aspnet,208,28,0
aspnet,208,29,0
aspnet,208,30,0
aspnet,210,1,0
aspnet,210,2,0
aspnet,210,3,0
aspnet,210,4,0
aspnet,210,5,0
aspnet,210,6,0
aspnet,210,7,0
aspnet,210,8,0
aspnet,210,9,0
aspnet,210,10,0
aspnet,210,11,0
aspnet,210,12,0
aspnet,210,13,0
aspnet,210,14,0
aspnet,210,15,0
aspnet,210,16,0
aspnet,210,17,0
aspnet,210,18,0
aspnet,210,19,0
aspnet,210,20,0
aspnet,210,21,0
aspnet,210,22,0
aspnet,210,23,0
aspnet,210,24,0
aspnet,210,25,0
aspnet,210,26,0
aspnet,210,27,0
aspnet,210,28,0
aspnet,210,29,0
aspnet,210,30,0
aspnet,215,1,0
aspnet,215,2,0
aspnet,215,3,0
aspnet,215,4,0
aspnet,215,5,0
aspnet,215,6,0
aspnet,215,7,0
aspnet,215,8,0
aspnet,215,9,0
aspnet,215,10,0
aspnet,215,11,0
aspnet,215,12,0
aspnet,215,13,0
aspnet,215,14,0
aspnet,215,15,0
aspnet,215,16,0
aspnet,215,17,0
aspnet,215,18,0
aspnet,215,19,0
aspnet,215,20,0
aspnet,215,21,0
aspnet,215,22,0
aspnet,215,23,0
aspnet,215,24,0
aspnet,215,25,0
aspnet,215,26,0
aspnet,215,27,0
aspnet,215,28,0
aspnet,215,29,0
aspnet,215,30,0
aspnet,202,1,0
aspnet,202,2,0
aspnet,202,3,0
aspnet,202,4,0
aspnet,202,5,0
aspnet,202,6,0
aspnet,202,7,0
aspnet,202,8,0
aspnet,202,9,0
aspnet,202,10,0
aspnet,202,11,0
aspnet,202,12,0
aspnet,202,13,0
aspnet,202,14,0
aspnet,202,15,0
aspnet,202,16,0
aspnet,202,17,0
aspnet,202,18,0
aspnet,202,19,0
aspnet,202,20,0
aspnet,202,21,0
aspnet,202,22,0
aspnet,202,23,0
aspnet,202,24,0
aspnet,202,25,0
aspnet,202,26,0
aspnet,202,27,0
aspnet,202,28,0
aspnet,202,29,0
aspnet,202,30,0
aspnet,150,1,1
aspnet,150,2,1
aspnet,150,3,1
aspnet,150,4,1
aspnet,150,5,1
aspnet,150,6,1
aspnet,150,7,1
aspnet,150,8,1
aspnet,150,9,1
aspnet,150,10,1
aspnet,150,11,1
aspnet,150,12,1
aspnet,150,13,1
aspnet,150,14,1
aspnet,150,15,1
aspnet,150,16,1
aspnet,150,17,1
aspnet,150,18,1
aspnet,150,19,1
aspnet,150,20,1
aspnet,150,21,1
aspnet,150,22,1
aspnet,150,23,1
aspnet,150,24,1
aspnet,150,25,1
aspnet,150,26,1
aspnet,150,27,1
aspnet,150,28,1
aspnet,150,29,1
aspnet,150,30,1
