framework,tx_mode,trial,gap_ms,cancel_at_ms,committed_steps,outcome,idle_in_txn_after,detected,propagated
aspnet,false,1,2000,500,1,torn,0,1,1
aspnet,false,2,2000,500,1,torn,0,1,1
aspnet,false,3,2000,500,1,torn,0,1,1
aspnet,false,4,2000,500,1,torn,0,1,1
aspnet,false,5,2000,500,1,torn,0,1,1
aspnet,false,6,2000,500,1,torn,0,1,1
aspnet,false,7,2000,500,1,torn,0,1,1
aspnet,false,8,2000,500,1,torn,0,1,1
aspnet,false,9,2000,500,1,torn,0,1,1
aspnet,false,10,2000,500,1,torn,0,1,1
aspnet,false,11,2000,500,1,torn,0,1,1
aspnet,false,12,2000,500,1,torn,0,1,1
aspnet,false,13,2000,500,1,torn,0,1,1
aspnet,false,14,2000,500,1,torn,0,1,1
aspnet,false,15,2000,500,1,torn,0,1,1
aspnet,false,16,2000,500,1,torn,0,1,1
aspnet,false,17,2000,500,1,torn,0,1,1
aspnet,false,18,2000,500,1,torn,0,1,1
aspnet,false,19,2000,500,1,torn,0,1,1
aspnet,false,20,2000,500,1,torn,0,1,1
aspnet,true,1,2000,500,0,rollback,0,1,1
aspnet,true,2,2000,500,0,rollback,0,1,1
aspnet,true,3,2000,500,0,rollback,0,1,1
aspnet,true,4,2000,500,0,rollback,0,1,1
aspnet,true,5,2000,500,0,rollback,0,1,1
aspnet,true,6,2000,500,0,rollback,0,1,1
aspnet,true,7,2000,500,0,rollback,0,1,1
aspnet,true,8,2000,500,0,rollback,0,1,1
aspnet,true,9,2000,500,0,rollback,0,1,1
aspnet,true,10,2000,500,0,rollback,0,1,1
aspnet,true,11,2000,500,0,rollback,0,1,1
aspnet,true,12,2000,500,0,rollback,0,1,1
aspnet,true,13,2000,500,0,rollback,0,1,1
aspnet,true,14,2000,500,0,rollback,0,1,1
aspnet,true,15,2000,500,0,rollback,0,1,1
aspnet,true,16,2000,500,0,rollback,0,1,1
aspnet,true,17,2000,500,0,rollback,0,1,1
aspnet,true,18,2000,500,0,rollback,0,1,1
aspnet,true,19,2000,500,0,rollback,0,1,1
aspnet,true,20,2000,500,0,rollback,0,1,1
webflux,false,1,2000,500,1,torn,0,1,1
webflux,false,2,2000,500,1,torn,0,1,1
webflux,false,3,2000,500,1,torn,0,1,1
webflux,false,4,2000,500,1,torn,0,1,1
webflux,false,5,2000,500,1,torn,0,1,1
webflux,false,6,2000,500,1,torn,0,1,1
webflux,false,7,2000,500,1,torn,0,1,1
webflux,false,8,2000,500,1,torn,0,1,1
webflux,false,9,2000,500,1,torn,0,1,1
webflux,false,10,2000,500,1,torn,0,1,1
webflux,false,11,2000,500,1,torn,0,1,1
webflux,false,12,2000,500,1,torn,0,1,1
webflux,false,13,2000,500,1,torn,0,1,1
webflux,false,14,2000,500,1,torn,0,1,1
webflux,false,15,2000,500,1,torn,0,1,1
webflux,false,16,2000,500,1,torn,0,1,1
webflux,false,17,2000,500,1,torn,0,1,1
webflux,false,18,2000,500,1,torn,0,1,1
webflux,false,19,2000,500,1,torn,0,1,1
webflux,false,20,2000,500,1,torn,0,1,1
webflux,true,1,2000,500,0,rollback,0,1,1
webflux,true,2,2000,500,0,rollback,0,1,1
webflux,true,3,2000,500,0,rollback,0,1,1
webflux,true,4,2000,500,0,rollback,0,1,1
webflux,true,5,2000,500,0,rollback,0,1,1
webflux,true,6,2000,500,0,rollback,0,1,1
webflux,true,7,2000,500,0,rollback,0,1,1
webflux,true,8,2000,500,0,rollback,0,1,1
webflux,true,9,2000,500,0,rollback,0,1,1
webflux,true,10,2000,500,0,rollback,0,1,1
webflux,true,11,2000,500,0,rollback,0,1,1
webflux,true,12,2000,500,0,rollback,0,1,1
webflux,true,13,2000,500,0,rollback,0,1,1
webflux,true,14,2000,500,0,rollback,0,1,1
webflux,true,15,2000,500,0,rollback,0,1,1
webflux,true,16,2000,500,0,rollback,0,1,1
webflux,true,17,2000,500,0,rollback,0,1,1
webflux,true,18,2000,500,0,rollback,0,1,1
webflux,true,19,2000,500,0,rollback,0,1,1
webflux,true,20,2000,500,0,rollback,0,1,1
mvc,false,1,2000,500,2,full,0,0,0
mvc,false,2,2000,500,2,full,0,0,0
mvc,false,3,2000,500,2,full,0,0,0
mvc,false,4,2000,500,2,full,0,0,0
mvc,false,5,2000,500,2,full,0,0,0
mvc,false,6,2000,500,2,full,0,0,0
mvc,false,7,2000,500,2,full,0,0,0
mvc,false,8,2000,500,2,full,0,0,0
mvc,false,9,2000,500,2,full,0,0,0
mvc,false,10,2000,500,2,full,0,0,0
mvc,false,11,2000,500,2,full,0,0,0
mvc,false,12,2000,500,2,full,0,0,0
mvc,false,13,2000,500,2,full,0,0,0
mvc,false,14,2000,500,2,full,0,0,0
mvc,false,15,2000,500,2,full,0,0,0
mvc,false,16,2000,500,2,full,0,0,0
mvc,false,17,2000,500,2,full,0,0,0
mvc,false,18,2000,500,2,full,0,0,0
mvc,false,19,2000,500,2,full,0,0,0
mvc,false,20,2000,500,2,full,0,0,0
mvc,true,1,2000,500,2,full,1,0,0
mvc,true,2,2000,500,2,full,1,0,0
mvc,true,3,2000,500,2,full,1,0,0
mvc,true,4,2000,500,2,full,1,0,0
mvc,true,5,2000,500,2,full,1,0,0
mvc,true,6,2000,500,2,full,1,0,0
mvc,true,7,2000,500,2,full,1,0,0
mvc,true,8,2000,500,2,full,1,0,0
mvc,true,9,2000,500,2,full,1,0,0
mvc,true,10,2000,500,2,full,1,0,0
mvc,true,11,2000,500,2,full,1,0,0
mvc,true,12,2000,500,2,full,1,0,0
mvc,true,13,2000,500,2,full,1,0,0
mvc,true,14,2000,500,2,full,1,0,0
